Mo-100(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 15.3123
1.25000E-05 14.2553
1.50000E-05 13.4750
2.00000E-05 12.3798
2.75000E-05 11.3378
3.50000E-05 10.6520
4.25000E-05 10.1569
5.00000E-05 9.77783
6.25000E-05 9.30513
7.50000E-05 8.95620
0.000100000 8.46642
0.000125000 8.13217
0.000150000 7.88544
0.000200000 7.53911
0.000275000 7.20958
0.000350000 6.99270
0.000425000 6.83614
0.000500000 6.71628
0.000625000 6.56680
0.000750000 6.45646
0.00100000 6.30157
0.00125000 6.19587
0.00150000 6.11785
0.00200000 6.00833
0.00275000 5.90412
0.00350000 5.83553
0.00425000 5.78602
0.00500000 5.74812
0.00625000 5.70084
0.00750000 5.66594
0.0100000 5.61696
0.0125000 5.58352
0.0150000 5.55884
0.0200000 5.52419
0.0253000 5.49935
0.0314750 5.47874
0.0376500 5.46343
0.0500000 5.44182
0.0625000 5.42683
0.0750000 5.41576
0.100000 5.40020
0.125000 5.38955
0.150000 5.38168
0.200000 5.37058
0.275000 5.35995
0.350000 5.35287
0.500000 5.34371
0.750000 5.33479
1.00000 5.32920
1.50000 5.32201
2.00000 5.31718
2.75000 5.31184
3.50000 5.30764
5.00000 5.30085
7.50000 5.29162
10.0000 5.28354
15.0000 5.26885
20.0000 5.25518
27.5000 5.23566
35.0000 5.21688
50.0000 5.18054
73.5800 5.12461
79.4749 5.11072
85.3699 5.09720
88.3174 5.09106
89.7912 5.08851
91.2649 5.08686
92.7387 5.08747
93.4755 5.08991
94.2124 5.09589
94.5809 5.10157
94.9493 5.11077
95.3177 5.12649
95.6862 5.15579
95.8704 5.18070
96.0546 5.21881
96.2388 5.28114
96.4230 5.39315
96.5151 5.48597
96.6073 5.62522
96.6994 5.84777
96.7915 6.23566
96.8836 7.00298
96.9296 7.70376
96.9757 8.86119
97.0218 10.9699
97.0448 12.7346
97.0678 15.3941
97.0908 19.6402
97.1139 26.9000
97.1369 40.3281
97.1599 66.3959
97.1800 103.222
97.2000 127.789
97.2201 103.242
97.2401 66.4204
97.2617 41.5301
97.2832 28.1847
97.3048 20.7415
97.3264 16.2971
97.3479 13.4692
97.3695 11.5740
97.4126 9.28411
97.4557 8.01311
97.4989 7.23833
97.5851 6.38389
97.6713 5.94892
97.7576 5.69811
97.8438 5.54052
97.9301 5.43509
98.1026 5.30712
98.2751 5.23530
98.4476 5.19092
98.6201 5.16153
98.9650 5.12608
99.3100 5.10612
99.6550 5.09362
100.000 5.08514
100.781 5.07331
101.563 5.06626
102.344 5.06133
103.125 5.05748
104.688 5.05135
106.250 5.04620
109.375 5.03699
112.500 5.02829
125.000 4.99379
150.000 4.91906
200.000 4.72367
220.418 4.61315
240.836 4.47163
261.254 4.28145
281.673 4.00926
291.882 3.82290
302.091 3.58380
312.300 3.26602
322.509 2.82468
327.613 2.53463
332.718 2.17986
337.822 1.74353
342.927 1.21850
345.479 0.936827
348.032 0.679908
349.308 0.585872
350.584 0.543204
351.222 0.553058
351.541 0.568831
351.860 0.593385
352.179 0.628136
352.498 0.674706
352.817 0.735034
353.136 0.811392
353.455 0.906499
353.774 1.02349
354.412 1.33920
355.050 1.79910
355.688 2.46255
356.326 3.41921
356.964 4.80712
357.603 6.84817
358.241 9.91091
358.879 14.6437
359.517 22.2544
360.155 35.1864
360.793 58.9298
361.112 78.6257
361.431 107.820
361.750 153.224
362.069 228.381
362.388 363.700
362.548 474.496
362.707 637.093
362.867 886.047
363.026 1285.93
363.186 1959.17
363.345 3114.72
363.523 5123.09
363.700 6579.24
363.878 5405.75
364.055 3469.77
364.188 2450.86
364.321 1779.74
364.453 1337.36
364.586 1037.87
364.852 676.497
365.117 477.871
365.383 357.767
365.648 279.756
366.179 187.690
366.710 137.196
367.241 106.329
367.772 85.9495
368.303 71.7088
369.365 53.4561
370.428 42.4945
371.490 35.3091
372.552 30.2942
374.676 23.8396
376.800 19.9212
378.924 17.3182
381.048 15.4762
385.297 13.0598
389.545 11.5564
393.793 10.5360
398.041 9.80036
406.538 8.81325
415.034 8.18294
423.531 7.74618
432.028 7.42582
449.021 6.98728
466.014 6.70094
483.007 6.49928
491.504 6.41999
495.752 6.38543
497.876 6.36999
500.000 6.35684
501.840 6.34971
502.759 6.34972
503.679 6.35553
504.599 6.37577
505.059 6.39924
505.518 6.44465
505.748 6.48394
505.978 6.54460
506.208 6.64462
506.438 6.82574
506.553 6.97675
506.668 7.20448
506.783 7.57078
506.898 8.21427
506.956 8.73691
507.013 9.50592
507.071 10.7032
507.128 12.7093
507.185 16.4600
507.214 19.6878
507.243 24.6675
507.272 32.9443
507.300 47.8389
507.315 60.0675
507.329 77.6986
507.344 104.039
507.358 142.773
507.379 224.668
507.400 279.261
507.421 224.644
507.442 142.745
507.456 104.680
507.470 78.7245
507.498 48.8981
507.526 33.7698
507.554 25.3465
507.582 20.2097
507.610 16.8891
507.666 12.9973
507.722 10.9044
507.778 9.65449
507.834 8.84988
507.889 8.30205
508.001 7.62560
508.113 7.23978
508.225 6.99910
508.337 6.83899
508.560 6.64532
508.784 6.53696
509.007 6.46994
509.231 6.42543
509.678 6.37124
510.125 6.34014
511.019 6.30599
511.914 6.28696
512.808 6.27401
514.596 6.25553
516.385 6.24120
518.173 6.22871
521.750 6.20657
525.327 6.18720
528.904 6.17206
530.693 6.16900
531.587 6.17079
532.481 6.17802
533.375 6.19883
533.822 6.22185
534.270 6.26563
534.493 6.30323
534.717 6.36105
534.940 6.45620
535.164 6.62811
535.276 6.77128
535.387 6.98703
535.499 7.33376
535.611 7.94214
535.667 8.43570
535.723 9.16109
535.779 10.2887
535.834 12.1780
535.890 15.6939
535.918 18.7090
535.946 23.3427
535.974 31.0044
536.002 44.6810
536.030 71.7581
536.044 95.3525
536.058 129.687
536.079 204.044
536.100 253.324
536.121 203.706
536.142 129.734
536.158 92.4059
536.173 68.0878
536.188 52.0066
536.204 41.2302
536.234 28.2836
536.265 21.2785
536.296 17.0891
536.326 14.4091
536.388 11.3209
536.449 9.67790
536.510 8.70614
536.572 8.08386
536.633 7.66178
536.756 7.14225
536.878 6.84712
537.001 6.66349
537.124 6.54154
537.369 6.39428
537.614 6.31199
537.860 6.26113
538.105 6.22734
538.596 6.18619
539.086 6.16253
540.067 6.13647
541.049 6.12187
542.030 6.11188
543.993 6.09752
547.918 6.07641
551.843 6.05858
559.694 6.02666
567.544 5.99773
583.245 5.94624
598.946 5.90145
630.348 5.82681
661.750 5.76666
693.152 5.71674
724.553 5.67430
740.254 5.65533
755.955 5.63772
763.806 5.62953
771.656 5.62219
775.582 5.61945
779.507 5.61916
781.469 5.62234
782.451 5.62653
783.432 5.63503
784.413 5.65437
784.904 5.67413
785.395 5.71052
785.885 5.78835
786.131 5.86536
786.376 6.00423
786.499 6.11985
786.621 6.29419
786.744 6.57481
786.867 7.06866
786.928 7.47094
786.989 8.06311
787.051 8.98743
787.112 10.5454
787.173 13.4785
787.204 16.0160
787.235 19.9580
787.265 26.5719
787.296 38.6503
787.311 48.7507
787.327 63.5461
787.342 85.8837
787.357 119.627
787.379 188.229
787.400 233.690
787.422 187.903
787.443 119.646
787.456 90.1463
787.469 69.3260
787.495 44.3752
787.521 31.1510
787.547 23.5755
787.573 18.8633
787.599 15.7752
787.651 12.1056
787.702 10.1062
787.754 8.90188
787.858 7.58866
787.962 6.92726
788.066 6.54848
788.170 6.31166
788.273 6.15381
788.481 5.96309
788.689 5.85662
788.896 5.79116
789.104 5.74805
789.519 5.69648
789.934 5.66790
790.764 5.63874
791.595 5.62466
792.425 5.61660
794.085 5.60772
797.407 5.59932
800.728 5.59433
807.370 5.58684
814.013 5.58033
827.297 5.56828
840.582 5.55688
867.152 5.53540
893.722 5.51531
920.291 5.49635
946.861 5.47838
973.430 5.46137
1000.00 5.44566
1017.65 5.43678
1026.48 5.43352
1035.31 5.43215
1044.14 5.43549
1048.55 5.44155
1052.96 5.45485
1055.17 5.46703
1057.38 5.48641
1059.58 5.51921
1061.79 5.58019
1062.89 5.63216
1064.00 5.71201
1065.10 5.84387
1066.20 6.08420
1066.76 6.28673
1067.31 6.59577
