55-Cs_n-tot
> 55-Cs-133:1.000000
2.904590e+01 4.14122000e+00
2.950820e+01 4.06617000e+00
2.973940e+01 4.03295000e+00
2.997050e+01 4.04109000e+00
3.000000e+01 4.07825000e+00
3.002950e+01 4.03330000e+00
3.012140e+01 3.98483000e+00
3.021330e+01 3.97009000e+00
3.039710e+01 3.94639000e+00
3.076480e+01 3.90365000e+00
3.150000e+01 3.82812000e+00
3.223530e+01 3.76274000e+00
3.260290e+01 3.73431000e+00
3.278670e+01 3.72514000e+00
3.287860e+01 3.73265000e+00
3.292460e+01 3.75940000e+00
3.294750e+01 3.80001000e+00
3.297050e+01 3.90057000e+00
3.300000e+01 4.09532000e+00
3.302950e+01 3.89633000e+00
3.304840e+01 3.80459000e+00
3.306740e+01 3.75998000e+00
3.310520e+01 3.72249000e+00
3.318090e+01 3.69842000e+00
3.333240e+01 3.68035000e+00
3.363520e+01 3.65688000e+00
3.424090e+01 3.61614000e+00
3.545230e+01 3.54371000e+00
3.787500e+01 3.42559000e+00
4.029780e+01 3.35315000e+00
4.150910e+01 3.35729000e+00
4.211480e+01 3.38355000e+00
4.241770e+01 3.40974000e+00
4.256910e+01 3.43647000e+00
4.264480e+01 3.47661000e+00
4.268270e+01 3.54093000e+00
4.272050e+01 3.77639000e+00
4.275000e+01 4.12078000e+00
4.277950e+01 3.78403000e+00
4.280800e+01 3.58729000e+00
4.283640e+01 3.52207000e+00
4.289330e+01 3.48669000e+00
4.300710e+01 3.48548000e+00
4.323480e+01 3.52135000e+00
4.369000e+01 3.64094000e+00
4.414530e+01 3.84257000e+00
4.437290e+01 4.01314000e+00
4.448670e+01 4.19166000e+00
4.454360e+01 4.45568000e+00
4.457210e+01 4.82616000e+00
4.460050e+01 5.85551000e+00
4.463000e+01 7.58962000e+00
4.465950e+01 5.91195000e+00
4.468170e+01 5.06522000e+00
4.470390e+01 4.71850000e+00
4.474830e+01 4.49594000e+00
4.483710e+01 4.46577000e+00
4.501470e+01 4.66013000e+00
4.537000e+01 5.35026000e+00
4.572520e+01 6.56291000e+00
4.608040e+01 8.86126000e+00
4.625800e+01 1.08351000e+01
4.643560e+01 1.38725000e+01
4.661320e+01 1.88543000e+01
4.679090e+01 2.77787000e+01
4.687970e+01 3.51116000e+01
4.696850e+01 4.59853000e+01
4.705730e+01 6.30308000e+01
4.714610e+01 9.18041000e+01
4.719050e+01 1.14175000e+02
4.723490e+01 1.45690000e+02
4.727930e+01 1.91936000e+02
4.732370e+01 2.63326000e+02
4.736810e+01 3.80866000e+02
4.741250e+01 5.90679000e+02
4.743470e+01 7.60175000e+02
4.745690e+01 1.00334000e+03
4.747910e+01 1.35864000e+03
4.750130e+01 1.87614000e+03
4.753570e+01 3.02113000e+03
4.757000e+01 3.80241000e+03
4.760440e+01 3.06558000e+03
4.763870e+01 1.93197000e+03
4.767560e+01 1.15969000e+03
4.771250e+01 7.42489000e+02
4.774940e+01 5.08492000e+02
4.778630e+01 3.68104000e+02
4.782320e+01 2.78371000e+02
4.786010e+01 2.17954000e+02
4.793390e+01 1.44510000e+02
4.800770e+01 1.03420000e+02
4.808150e+01 7.81674000e+01
4.822900e+01 5.00190000e+01
4.837660e+01 3.54747000e+01
4.852420e+01 2.69651000e+01
4.867180e+01 2.15420000e+01
4.881940e+01 1.78631000e+01
4.911450e+01 1.33128000e+01
4.940970e+01 1.06925000e+01
4.970480e+01 9.03394000e+00
5.000000e+01 7.91053000e+00
5.050380e+01 6.67304000e+00
5.100760e+01 5.90274000e+00
5.201510e+01 5.01536000e+00
5.302270e+01 4.52820000e+00
5.403030e+01 4.22261000e+00
5.604540e+01 3.85895000e+00
5.705290e+01 3.74135000e+00
5.755670e+01 3.69353000e+00
5.780860e+01 3.67421000e+00
5.793460e+01 3.67143000e+00
5.799750e+01 3.68432000e+00
5.802900e+01 3.71194000e+00
5.806050e+01 3.80535000e+00
5.809000e+01 3.95749000e+00
5.811950e+01 3.80114000e+00
5.814230e+01 3.71966000e+00
5.816520e+01 3.68484000e+00
5.821080e+01 3.65790000e+00
5.830210e+01 3.64051000e+00
5.848480e+01 3.62632000e+00
5.885000e+01 3.61888000e+00
5.903260e+01 3.63500000e+00
5.921530e+01 3.70175000e+00
5.930660e+01 3.79852000e+00
5.935220e+01 3.89188000e+00
5.939790e+01 4.05246000e+00
5.944350e+01 4.36008000e+00
5.946640e+01 4.63000000e+00
5.948920e+01 5.05605000e+00
5.951200e+01 5.78124000e+00
5.953490e+01 7.14406000e+00
5.954630e+01 8.30540000e+00
5.955770e+01 1.00572000e+01
5.956910e+01 1.27852000e+01
5.958050e+01 1.70539000e+01
5.959530e+01 2.51578000e+01
5.961000e+01 3.05568000e+01
5.962480e+01 2.51615000e+01
5.963950e+01 1.70572000e+01
5.964840e+01 1.35627000e+01
5.965740e+01 1.10962000e+01
5.967520e+01 8.12751000e+00
5.969300e+01 6.55849000e+00
5.971090e+01 5.65609000e+00
5.972870e+01 5.09627000e+00
5.974660e+01 4.72788000e+00
5.978230e+01 4.29050000e+00
5.981790e+01 4.05161000e+00
5.985360e+01 3.90749000e+00
5.992500e+01 3.75098000e+00
5.999640e+01 3.67610000e+00
6.006780e+01 3.64688000e+00
6.013910e+01 3.68714000e+00
6.017480e+01 3.80691000e+00
6.019270e+01 3.96043000e+00
6.021050e+01 4.27475000e+00
6.022530e+01 4.70585000e+00
6.024000e+01 4.99222000e+00
6.025480e+01 4.69874000e+00
6.026950e+01 4.26029000e+00
6.028730e+01 3.93736000e+00
6.030510e+01 3.77462000e+00
6.034070e+01 3.63528000e+00
6.037630e+01 3.57933000e+00
6.041190e+01 3.55025000e+00
6.055420e+01 3.50259000e+00
6.083890e+01 3.46589000e+00
6.140830e+01 3.42323000e+00
6.254710e+01 3.36001000e+00
6.482480e+01 3.25799000e+00
6.938000e+01 3.09336000e+00
7.393530e+01 2.95298000e+00
7.621290e+01 2.89539000e+00
7.735170e+01 2.87900000e+00
7.792110e+01 2.87922000e+00
7.820580e+01 2.88439000e+00
7.834820e+01 2.89294000e+00
7.841930e+01 2.90913000e+00
7.845490e+01 2.93618000e+00
7.849050e+01 3.03127000e+00
7.852000e+01 3.17488000e+00
7.854950e+01 3.03324000e+00
7.859390e+01 2.93136000e+00
7.863830e+01 2.91055000e+00
7.872710e+01 2.90332000e+00
7.890480e+01 2.90869000e+00
7.926000e+01 2.93554000e+00
7.961530e+01 2.98344000e+00
7.979290e+01 3.02714000e+00
7.988170e+01 3.07940000e+00
7.992610e+01 3.15782000e+00
7.994830e+01 3.25653000e+00
7.997050e+01 3.48153000e+00
8.000000e+01 3.92055000e+00
8.002950e+01 3.49744000e+00
8.005010e+01 3.29399000e+00
8.007070e+01 3.20584000e+00
8.011190e+01 3.14651000e+00
8.019430e+01 3.13726000e+00
8.035910e+01 3.18934000e+00
8.068880e+01 3.37923000e+00
8.101840e+01 3.71757000e+00
8.134810e+01 4.36325000e+00
8.151290e+01 4.91856000e+00
8.167770e+01 5.77224000e+00
8.184250e+01 7.16825000e+00
8.200730e+01 9.65470000e+00
8.217220e+01 1.46740000e+01
8.225460e+01 1.93172000e+01
8.233700e+01 2.70519000e+01
8.241940e+01 4.12404000e+01
8.246060e+01 5.31610000e+01
8.250180e+01 7.11595000e+01
8.254300e+01 9.99009000e+01
8.258420e+01 1.48973000e+02
8.260480e+01 1.86928000e+02
8.262540e+01 2.39274000e+02
8.264600e+01 3.12257000e+02
8.266660e+01 4.13321000e+02
8.270330e+01 6.65379000e+02
8.274000e+01 8.38208000e+02
8.277670e+01 6.76958000e+02
8.281340e+01 4.27806000e+02
8.283730e+01 3.12801000e+02
8.286120e+01 2.33461000e+02
8.290900e+01 1.40712000e+02
8.295680e+01 9.31302000e+01
8.300460e+01 6.62279000e+01
8.305240e+01 4.97241000e+01
8.310010e+01 3.89263000e+01
8.319570e+01 2.61639000e+01
8.329130e+01 1.92058000e+01
8.338690e+01 1.49971000e+01
8.357800e+01 1.03663000e+01
8.376920e+01 7.99592000e+00
8.396040e+01 6.61350000e+00
8.415150e+01 5.73215000e+00
8.434270e+01 5.13266000e+00
8.472500e+01 4.38604000e+00
8.510730e+01 3.95016000e+00
8.587200e+01 3.47547000e+00
8.663660e+01 3.22742000e+00
8.740120e+01 3.07895000e+00
8.816590e+01 2.99174000e+00
8.854820e+01 2.98941000e+00
8.873940e+01 3.07720000e+00
8.878710e+01 3.16098000e+00
8.883490e+01 3.35503000e+00
