V-51(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
15727.2 32.6554
15738.7 32.4837
15761.7 32.4261
15784.7 32.5439
15876.8 34.4799
15968.9 40.5207
16061.0 56.0455
16145.5 84.8924
16230.0 112.877
16314.5 104.741
16399.0 79.5271
16453.5 65.5632
16508.0 54.3918
16617.0 37.5466
16671.5 30.5690
16726.0 24.2392
16780.5 19.7299
16807.8 19.6290
16835.0 22.9302
16866.3 33.7970
16897.5 52.8114
16928.8 72.2034
16960.0 82.3839
17022.5 79.6927
17085.0 70.0587
17145.8 62.3012
17206.6 56.4734
17328.3 48.5371
17449.9 43.3418
17571.5 39.5855
17814.7 34.3030
17936.4 32.3107
17966.8 31.8671
17997.2 31.4636
18012.4 31.3010
18020.0 31.2469
18027.6 31.2354
18035.2 31.3249
18039.0 31.4581
18042.8 31.7266
18046.6 32.2993
18048.5 32.8338
18050.4 33.7154
18052.3 35.2924
18054.2 38.4605
18055.1 41.3409
18056.1 45.9768
18057.0 53.8248
18058.0 67.3947
18059.0 89.5880
18060.0 104.443
18061.0 89.7671
18062.0 67.6319
18063.0 54.0353
18063.9 46.1355
18064.9 41.4447
18065.8 38.5371
18067.7 35.2639
18069.6 33.6083
18071.5 32.6499
18073.4 32.0488
18077.2 31.3515
18081.0 30.9653
18084.7 30.7198
18092.3 30.4125
18099.9 30.2116
18107.5 30.0560
18122.6 29.8029
18152.9 29.3796
18183.2 28.9948
18304.3 27.5921
18546.5 25.1400
19031.0 21.0376
19515.5 17.4271
20000.0 13.8176
20374.4 10.6808
20561.5 8.88133
20655.1 7.91042
20701.9 7.42390
20713.6 7.31625
20725.3 7.24510
20731.2 7.25794
20734.1 7.30028
20737.0 7.39812
20739.9 7.62458
20741.4 7.84421
20742.9 8.21710
20744.3 8.90755
20745.0 9.48867
20745.8 10.3654
20746.5 11.7613
20747.2 14.1341
20748.0 18.4708
20748.7 26.7518
20749.4 38.8184
20750.0 46.7460
20750.7 38.7216
20751.3 26.8596
20751.8 21.1281
20752.2 17.2688
20752.7 14.6730
20753.1 12.8877
20754.0 10.7052
20754.9 9.50370
20755.8 8.76441
20756.7 8.28792
20758.5 7.71973
20760.3 7.40525
20762.1 7.20934
20765.6 6.97872
20772.8 6.74812
20780.0 6.61047
20794.3 6.40545
20808.6 6.22712
20837.2 5.88954
20865.9 5.55967
20980.4 4.30597
21095.0 3.38708
21152.3 3.26112
21180.9 3.35138
21195.3 3.45023
21202.4 3.52328
21206.0 3.59456
21207.8 3.72353
21208.7 4.00169
21209.1 4.46182
21209.6 5.91223
21210.0 8.26345
21210.4 5.94019
21210.8 4.71134
21211.1 4.22000
21211.8 3.87187
21213.1 3.71457
21215.7 3.68395
21221.0 3.73443
21231.6 3.88985
21252.8 4.30499
21295.2 5.60536
21337.6 7.73108
21380.0 10.9603
21455.0 20.1550
21530.0 33.6030
21605.0 47.3797
21680.0 55.7454
21830.0 54.6277
21980.0 46.3361
22120.6 39.7426
22261.2 34.8754
22401.8 31.2792
22542.4 28.5465
22823.5 24.6750
23104.7 22.0372
23667.0 18.5708
23948.2 17.3314
24088.8 16.7893
24159.1 16.5348
24194.2 16.4142
24211.8 16.3672
24220.6 16.3913
24225.0 16.5644
24226.1 16.7270
24227.2 17.1095
24227.7 17.5235
24228.3 18.3362
24228.8 20.1995
24229.1 22.0343
24229.4 25.1901
24229.7 30.5737
24230.0 34.1561
24230.3 30.6366
24230.6 25.2524
24230.9 22.0173
24231.2 20.1547
24231.8 18.3129
24232.3 17.4986
24232.9 17.0907
24234.0 16.7053
24235.1 16.5377
24239.6 16.3330
24248.6 16.2454
24266.6 16.1685
24302.6 16.0440
24374.7 15.8091
24518.7 15.3652
24806.7 14.5589
25382.9 13.1915
26535.1 11.0636
27687.3 9.34012
28263.4 8.49581
28551.5 8.03374
28695.5 7.78057
28767.5 7.64624
28803.5 7.57739
28821.5 7.54510
28830.5 7.53960
28835.0 7.57570
28837.3 7.71554
28838.4 8.08735
28839.0 8.76658
28839.3 9.58873
28839.5 11.2495
28839.8 13.5044
28840.0 15.0171
28840.2 13.5300
28840.5 11.2721
28840.8 9.35169
28841.2 8.53584
28841.9 7.94205
28843.3 7.65022
28846.0 7.53819
28851.6 7.49422
28862.8 7.46231
28885.1 7.41406
28929.7 7.31999
29018.9 7.12557
29108.0 6.92578
29197.2 6.73965
29286.4 6.63635
29331.0 6.68121
29375.6 6.88733
29420.2 7.44635
29464.8 8.83910
29509.4 12.4132
29531.7 16.0708
29554.0 22.1360
29620.0 55.1235
29653.0 54.0899
29686.0 41.5784
29709.2 33.9569
29732.5 28.3538
29755.7 24.3335
29779.0 21.4151
29825.4 17.5938
29871.9 15.2807
29918.4 13.7626
29964.9 12.7061
29988.1 12.2986
30011.3 11.9701
30023.0 11.8549
30028.8 11.8249
30034.6 11.8345
30040.4 11.9338
30043.3 12.0590
30046.2 12.2938
30049.1 12.7654
30050.6 13.1814
30052.0 13.8330
30053.5 14.9181
30054.9 16.8751
30056.4 20.7664
30057.1 24.1758
30057.8 29.1072
30058.9 39.8841
30060.0 47.1507
30061.1 40.0430
30062.2 29.2832
30063.3 22.4125
30064.4 18.5335
30065.5 16.2803
30066.6 14.8927
30067.7 13.9879
30068.7 13.3682
30070.9 12.6010
30073.1 12.1557
30075.3 11.8735
30079.6 11.5376
30084.0 11.3433
30088.3 11.2125
30097.0 11.0354
30105.7 10.9085
30114.4 10.8045
30131.8 10.6298
30166.6 10.3436
30201.4 10.1031
30271.0 9.70685
30340.6 9.38813
30479.8 8.89675
30619.0 8.52565
30897.5 7.97615
31175.9 7.56278
31732.7 6.92291
32011.1 6.65174
32150.3 6.52325
32219.9 6.46049
32254.7 6.43009
32272.1 6.41788
32280.8 6.42311
32285.2 6.46591
32287.4 6.61172
32288.5 6.98403
32289.0 7.64173
32289.3 8.41353
32289.5 9.96215
32290.0 13.5423
32290.5 9.97781
32290.8 8.28351
32291.1 7.48996
32291.7 6.88408
32293.0 6.56634
32295.5 6.44488
32300.6 6.40303
32310.7 6.38341
32331.0 6.36256
32371.5 6.32603
32452.4 6.25480
32614.4 6.11373
32938.4 5.82595
33262.3 5.47384
33343.3 5.34108
33424.3 5.13772
33464.8 4.96802
33485.0 4.84424
33505.3 4.67129
33525.5 4.40660
33535.6 4.21148
33545.8 3.94178
33555.9 3.54483
33561.0 3.26947
33566.0 2.91746
33571.1 2.46850
33576.1 1.95548
33578.7 1.77952
33581.2 1.93598
33582.5 2.36276
33583.7 3.30883
33585.0 5.27159
