S-34(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 13.3240
1.25000E-05 12.1366
1.50000E-05 11.2602
2.00000E-05 10.0299
2.75000E-05 8.85934
3.50000E-05 8.08895
4.25000E-05 7.53280
5.00000E-05 7.10703
6.25000E-05 6.57604
7.50000E-05 6.18408
0.000100000 5.63389
0.000125000 5.25842
0.000150000 4.98126
0.000200000 4.59222
0.000275000 4.22205
0.000350000 3.97843
0.000425000 3.80256
0.000500000 3.66792
0.000625000 3.50000
0.000750000 3.37606
0.00100000 3.20207
0.00125000 3.08334
0.00150000 2.99569
0.00200000 2.87267
0.00275000 2.75561
0.00350000 2.67857
0.00425000 2.62295
0.00500000 2.58038
0.00625000 2.52728
0.00750000 2.48808
0.0100000 2.43306
0.0125000 2.39552
0.0150000 2.36780
0.0200000 2.32890
0.0253000 2.30101
0.0314750 2.27788
0.0376500 2.26070
0.0500000 2.23646
0.0625000 2.21967
0.0750000 2.20727
0.100000 2.18987
0.125000 2.17800
0.150000 2.16923
0.200000 2.15693
0.275000 2.14521
0.350000 2.13751
0.500000 2.12768
0.750000 2.11843
1.00000 2.11291
1.50000 2.10635
2.00000 2.10242
2.75000 2.09867
3.50000 2.09618
5.00000 2.09298
7.50000 2.08989
10.0000 2.08799
15.0000 2.08559
20.0000 2.08403
27.5000 2.08237
35.0000 2.08110
50.0000 2.07914
75.0000 2.07659
100.000 2.07442
150.000 2.07056
200.000 2.06701
275.000 2.06195
350.000 2.05709
500.000 2.04776
750.000 2.03305
1000.00 2.01915
1500.00 1.99339
2000.00 1.96996
2750.00 1.93848
3500.00 1.91067
5000.00 1.86371
7500.00 1.80378
10000.0 1.75899
12500.0 1.72410
15000.0 1.69603
20000.0 1.65333
23750.0 1.62903
27500.0 1.60908
35000.0 1.57775
42500.0 1.55362
50000.0 1.53387
62500.0 1.50675
75000.0 1.48379
81250.0 1.47326
87500.0 1.46320
93750.0 1.45363
96875.0 1.44913
100000 1.44495
102281 1.44226
104562 1.44013
106843 1.43907
109125 1.44028
110265 1.44264
111406 1.44730
112546 1.45624
113687 1.47409
114257 1.48967
114827 1.51373
115398 1.55308
115968 1.62294
116538 1.76330
116823 1.89264
117109 2.10740
117394 2.50056
117536 2.83052
117679 3.32844
117821 4.12455
117964 5.48620
118107 8.00530
118249 12.8928
118375 19.9068
118500 24.6225
118626 19.9721
118751 13.0147
118838 9.66551
118925 7.42509
119013 5.92606
119100 4.89931
119274 3.64978
119449 2.96021
119623 2.54383
119797 2.27472
120146 1.96072
120495 1.79166
120844 1.69035
121192 1.62475
121541 1.57977
122238 1.52348
122936 1.49064
123633 1.46956
124331 1.45503
125726 1.43638
127121 1.42480
128516 1.41668
129910 1.41046
132700 1.40100
135490 1.39351
141070 1.38087
146649 1.36932
152229 1.35798
163388 1.33463
181694 1.29162
200000 1.23874
208026 1.21091
230344 1.10925
241504 1.03694
252663 0.939301
263822 0.798412
269402 0.701160
274981 0.575904
280561 0.410853
283351 0.309741
286141 0.197278
288931 0.0844044
290326 0.0390329
291023 0.0237123
291720 0.0165904
292418 0.0214248
292767 0.0299146
293115 0.0435525
293464 0.0633721
293813 0.0905897
294510 0.173384
295208 0.307428
295905 0.514498
296603 0.824717
297300 1.27744
298300 2.26858
299300 3.75601
301300 7.45363
302300 8.52648
303300 8.66000
305300 7.42740
306744 6.37417
308187 5.51445
309631 4.85943
311075 4.37510
312518 4.04034
313240 3.93465
313962 3.88710
314684 3.93585
315405 4.18408
315766 4.46531
316127 4.95779
316488 5.83842
316849 7.41706
317225 9.97758
317600 11.6352
317976 9.79858
318351 7.13699
318639 5.74754
318927 4.84885
319215 4.26079
319503 3.86130
320078 3.36929
320654 3.08314
321230 2.89486
321806 2.75885
322957 2.56735
324109 2.43011
325260 2.32045
327563 2.14409
329866 1.99790
332169 1.86683
336776 1.61885
341382 1.34873
343685 1.18669
345988 0.991042
348291 0.743466
349442 0.593405
350594 0.424181
351746 0.242990
352897 0.0857260
353185 0.0618194
353473 0.0506718
353761 0.0579159
354049 0.0913280
354336 0.161649
354624 0.283458
354912 0.476208
355200 0.764826
355450 1.11678
355700 1.58536
356200 2.94035
357200 6.80884
357700 8.22579
358200 8.73265
359200 8.00261
360259 6.72424
361319 5.72182
362378 5.00857
363438 4.49657
365556 3.82966
367675 3.42327
369794 3.15399
371913 2.96578
376150 2.73463
380388 2.63875
382506 2.64379
384625 2.70128
386744 2.84593
388863 3.15693
390981 3.82488
392041 4.41782
393100 5.29267
394850 7.44596
396600 9.08346
398350 7.89679
400100 5.86004
401200 4.91950
402300 4.24742
404500 3.42273
406700 2.97010
408900 2.69623
411100 2.51587
413300 2.38870
417700 2.21995
422099 2.11020
424299 2.06773
426499 2.03165
428699 2.00346
429799 1.99495
430899 1.99513
431999 2.01680
432549 2.04707
433099 2.10752
433649 2.23569
433924 2.35394
434199 2.54533
434474 2.87564
434749 3.49623
434887 4.01847
435024 4.79310
435162 5.96881
435299 7.75353
435500 11.6343
435700 14.5371
435901 12.3885
436101 8.70063
436317 6.10113
436533 4.66616
436749 3.84584
436965 3.34449
437181 3.01825
437397 2.79447
437829 2.51507
438261 2.35239
438693 2.24805
439557 2.12373
440421 2.05223
441285 2.00501
443013 1.94362
444741 1.90189
446469 1.86852
449925 1.81071
453381 1.75223
455109 1.71907
456837 1.68074
458565 1.63413
459429 1.60627
460293 1.57446
462021 1.50466
462453 1.49993
462669 1.50937
462885 1.53816
463101 1.60989
463317 1.78812
463425 1.96822
463533 2.27497
463641 2.81754
463749 3.79254
463875 5.71029
464000 7.44150
464126 6.78684
464251 5.12851
464346 4.16911
464440 3.50658
464535 3.05199
464629 2.73231
464818 2.32604
465007 2.08489
465196 1.92634
465385 1.81314
465763 1.65687
466141 1.54542
466519 1.45253
467275 1.27758
468031 1.07394
468409 0.946398
468787 0.791851
469165 0.602552
469543 0.380702
469732 0.272264
469921 0.197396
470016 0.192010
470110 0.227850
470205 0.330038
470299 0.535644
470362 0.753428
470424 1.05551
470550 1.97468
470800 4.82936
470925 5.99469
471051 6.51804
471301 6.21038
471573 5.36578
471845 4.66794
472117 4.16230
472388 3.79610
472660 3.52367
472932 3.31517
473476 3.01928
474020 2.82065
474563 2.67849
475651 2.48868
476738 2.36739
477825 2.28281
480000 2.17164
480000 2.33056
500000 2.33294
600000 2.34361
615000 2.34764
700000 2.36883
750000 2.38565
800000 2.40149
900000 2.43887
1.00000E+06 2.47891
1.37418E+06 2.63794
1.40000E+06 2.64757
1.50000E+06 2.68354
2.00000E+06 2.85513
2.14892E+06 2.89599
2.19016E+06 2.90690
2.19016E+06 2.90690
2.24262E+06 2.91629
2.29508E+06 2.92550
2.34754E+06 2.93454
2.40000E+06 2.94339
2.50000E+06 2.95981
2.75000E+06 2.99853
3.00000E+06 3.03431
3.25000E+06 3.04162
3.40211E+06 3.04581
3.40211E+06 3.04581
3.50000E+06 3.04026
3.75000E+06 3.02683
4.00000E+06 3.01431
4.03022E+06 3.01161
4.10000E+06 3.00432
4.19292E+06 2.99485
4.21000E+06 2.99291
4.23719E+06 2.98985
4.30000E+06 2.98128
4.44491E+06 2.96209
4.50000E+06 2.95498
4.63361E+06 2.93817
4.63363E+06 2.93817
4.70000E+06 2.92760
4.90000E+06 2.89639
5.00000E+06 2.88202
5.37500E+06 2.81185
5.75000E+06 2.74797
6.00000E+06 2.70839
6.12500E+06 2.68364
6.50000E+06 2.61361
6.91452E+06 2.54267
7.00000E+06 2.52880
7.32905E+06 2.46964
8.00000E+06 2.36061
8.15810E+06 2.33535
8.20000E+06 2.32877
9.00000E+06 2.21255
9.10000E+06 2.19889
1.00000E+07 2.08562
1.04599E+07 2.03236
1.10000E+07 1.97808
1.12000E+07 1.95956
1.12045E+07 1.95915
1.12045E+07 1.95915
1.15000E+07 1.93231
1.17539E+07 1.91079
1.20000E+07 1.89023
1.25000E+07 1.85604
1.26188E+07 1.84805
1.30000E+07 1.82378
1.40000E+07 1.77993
1.45000E+07 1.76623
1.50000E+07 1.75774
1.60000E+07 1.75481
1.70000E+07 1.76734
1.80000E+07 1.79120
1.90000E+07 1.82200
2.00000E+07 1.85644
