Ag-107(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
73.5205 5.94168
73.6002 5.81619
73.6798 5.74555
73.7595 5.70145
73.9188 5.65027
74.2375 5.60231
74.5561 5.57691
75.8308 5.51882
78.3800 5.43803
80.9293 5.37260
82.2039 5.34919
82.5225 5.34857
82.8412 5.35887
83.0005 5.37719
83.1599 5.42639
83.2395 5.48410
83.3192 5.60617
83.3590 5.72305
83.3988 5.92167
83.4387 6.28443
83.4785 6.97628
83.5143 7.97485
83.5500 8.64073
83.5858 7.97444
83.6215 6.97460
83.6535 6.38463
83.6855 6.03325
83.7175 5.82039
83.7495 5.68537
83.8134 5.53314
83.8774 5.45478
83.9414 5.40932
84.0054 5.38050
84.1333 5.34691
84.3893 5.31619
84.6452 5.30099
85.6688 5.26991
87.7161 5.22806
91.8108 5.15683
95.9054 5.09377
100.000 5.03855
100.564 5.03751
100.705 5.04145
100.846 5.05332
100.917 5.06748
100.987 5.09694
101.022 5.12438
101.058 5.16921
101.093 5.24703
101.128 5.38488
101.164 5.60534
101.200 5.75327
101.236 5.60460
101.272 5.38323
101.297 5.27869
101.321 5.20848
101.370 5.12823
101.419 5.08794
101.468 5.06537
101.565 5.04223
101.663 5.03096
101.859 5.01986
102.054 5.01387
102.836 5.00012
104.400 4.97989
105.964 4.96418
106.355 4.96302
106.746 4.96757
106.942 4.97682
107.137 5.00290
107.235 5.03480
107.333 5.10568
107.381 5.17753
107.430 5.30767
107.479 5.56955
107.504 5.79972
107.528 6.14136
107.564 6.86822
107.600 7.35631
107.636 6.86825
107.672 6.14093
107.696 5.80460
107.720 5.57594
107.768 5.31352
107.815 5.18081
107.863 5.10676
107.959 5.03224
108.054 4.99767
108.245 4.96750
108.436 4.95505
108.818 4.94612
109.200 4.94709
109.582 4.95988
109.773 4.97553
109.964 5.00534
110.155 5.06790
110.251 5.12693
110.346 5.22674
110.442 5.41360
110.489 5.57417
110.537 5.82168
110.585 6.23078
110.633 6.96302
110.680 8.42023
110.704 9.68935
110.728 11.5473
110.764 15.5801
110.800 18.2876
110.836 15.5826
110.872 11.5497
110.900 9.44811
110.927 8.11045
110.955 7.24763
110.983 6.67747
111.038 6.00520
111.093 5.64630
111.149 5.43453
111.204 5.29979
111.314 5.14481
111.425 5.06239
111.536 5.01320
111.757 4.95926
111.978 4.93114
112.199 4.91400
112.642 4.89361
113.526 4.87146
114.411 4.85638
117.950 4.80807
121.489 4.76301
123.259 4.74288
124.143 4.73963
124.365 4.74353
124.586 4.75652
124.696 4.77317
124.807 4.81129
124.862 4.85105
124.918 4.92565
124.945 4.98921
124.973 5.08472
125.000 5.23321
125.028 5.46545
125.064 5.91252
125.100 6.21295
125.136 5.91401
125.172 5.46820
125.199 5.24226
125.226 5.09665
125.279 4.93904
125.333 4.86538
125.386 4.82742
125.493 4.79658
125.600 4.79460
125.707 4.81602
125.814 4.88050
125.868 4.95116
125.921 5.08475
125.948 5.19826
125.975 5.36761
126.001 5.62936
126.028 6.03212
126.064 6.82900
126.100 7.36395
126.136 6.82816
126.172 6.02998
126.207 5.52883
126.243 5.24657
126.278 5.08209
126.313 4.98120
126.384 4.87068
126.454 4.81561
126.595 4.76551
126.736 4.74482
127.018 4.73165
127.300 4.73614
127.582 4.76072
127.723 4.78818
127.864 4.83820
128.005 4.93870
128.076 5.03019
128.146 5.17966
128.217 5.44609
128.287 5.98360
128.322 6.47762
128.358 7.27981
128.393 8.66640
128.428 11.1161
128.464 15.0275
128.500 17.6531
128.536 15.0291
128.572 11.1172
128.604 8.86314
128.635 7.51097
128.667 6.68674
128.698 6.16306
128.761 5.56893
128.824 5.26395
128.887 5.08788
128.950 4.97772
129.076 4.85255
129.201 4.78645
129.327 4.74697
129.579 4.70316
129.831 4.67952
130.083 4.66438
130.586 4.64473
131.593 4.61938
132.600 4.59897
134.614 4.56205
135.621 4.55327
135.873 4.55946
136.125 4.58361
136.250 4.61684
136.376 4.69711
136.439 4.78477
136.502 4.95668
136.534 5.10968
136.565 5.34951
136.597 5.74465
136.628 6.40147
136.664 7.54537
136.700 8.31329
136.736 7.54462
136.772 6.39934
136.808 5.66375
136.845 5.25570
136.881 5.02186
136.918 4.87963
136.990 4.72464
137.063 4.64756
137.209 4.57601
137.354 4.54395
137.645 4.51419
137.936 4.49877
139.100 4.46535
140.264 4.45199
140.846 4.46840
141.137 4.51238
141.283 4.59970
141.355 4.73437
141.392 4.87799
141.428 5.13412
141.500 5.80132
141.572 5.14927
141.612 4.88275
141.652 4.74613
141.732 4.63399
141.891 4.59170
142.211 4.65596
142.530 4.82565
142.850 5.18106
143.009 5.50025
143.169 6.00365
143.329 6.84606
143.488 8.37822
143.648 11.5295
143.728 14.4805
143.808 19.4237
143.888 28.5509
143.928 36.2254
143.967 47.8137
144.007 66.2766
144.047 97.6527
144.087 154.854
144.107 200.764
144.127 263.501
144.164 424.106
144.200 536.187
144.237 435.661
144.274 277.229
144.315 166.787
144.356 108.114
144.397 75.4179
144.437 55.9359
144.478 43.4781
144.519 35.1090
144.601 24.9116
144.682 19.1709
144.764 15.6219
144.927 11.6297
145.091 9.53506
145.254 8.29185
145.418 7.48711
145.581 6.93342
145.908 6.23393
146.234 5.81933
146.561 5.54934
146.888 5.36130
147.541 5.11816
148.194 4.96809
149.501 4.79034
150.808 4.68451
152.115 4.61076
153.421 4.55769
153.748 4.55024
154.075 4.55258
154.238 4.56527
154.401 4.60481
154.483 4.65352
154.565 4.75864
154.606 4.86089
154.646 5.03600
154.687 5.35968
154.728 5.98704
154.764 6.88816
154.800 7.49278
154.836 6.88611
154.872 5.98254
154.900 5.51286
154.927 5.21226
154.955 5.01865
154.982 4.89027
155.037 4.73798
155.093 4.65575
155.203 4.57442
155.313 4.53614
155.534 4.49966
155.754 4.48073
156.636 4.43964
158.400 4.38259
159.282 4.35906
160.164 4.34683
160.605 4.35732
160.826 4.37593
161.046 4.41671
161.267 4.51165
161.377 4.60714
161.487 4.77579
161.597 5.10763
161.652 5.40367
161.708 5.87672
161.763 6.69269
161.818 8.24074
161.845 9.57174
161.873 11.5839
161.901 14.7461
161.928 19.7106
161.964 29.4204
162.000 36.2473
162.036 30.1985
162.072 20.6791
162.109 14.3518
162.146 10.8438
162.184 8.83453
162.221 7.61180
162.258 6.81788
162.295 6.27874
162.369 5.61372
162.444 5.23559
162.518 4.99975
162.667 4.73141
162.815 4.58833
162.964 4.50175
163.261 4.40371
163.856 4.31504
164.450 4.27241
165.045 4.25066
165.639 4.25778
165.936 4.29236
166.085 4.33161
166.234 4.40448
166.382 4.55360
166.457 4.69087
166.531 4.91709
166.605 5.32464
166.679 6.15943
166.717 6.93861
166.754 8.22454
166.791 10.4965
166.828 14.6228
166.864 20.9318
166.900 25.1463
166.936 20.9324
166.972 14.6215
166.998 11.4820
167.024 9.41597
167.050 8.05419
167.076 7.13294
167.128 6.02668
167.180 5.42407
167.232 5.06364
167.284 4.83201
167.388 4.56285
167.492 4.41770
167.596 4.33010
167.804 4.23227
168.220 4.14684
168.635 4.10624
169.467 4.06376
170.299 4.05271
171.130 4.10513
171.546 4.19570
171.962 4.40122
172.170 4.59487
172.378 4.90936
172.586 5.45011
172.793 6.46097
173.001 8.60739
173.105 10.6748
173.209 14.2363
173.313 21.0747
173.365 27.0647
173.417 36.4540
173.469 52.2792
173.521 81.3899
173.547 105.578
173.573 141.176
173.599 194.826
173.625 275.374
173.644 354.744
173.663 446.171
173.700 566.246
173.719 536.761
173.738 459.830
173.775 292.403
173.813 183.161
173.851 121.862
173.888 86.3280
173.926 64.4763
173.964 50.2520
174.001 40.5315
174.077 28.5245
174.152 21.6790
174.228 17.4191
174.378 12.5924
174.529 10.0476
174.680 8.53403
174.831 7.55394
174.982 6.87887
175.283 6.02578
175.585 5.51980
176.188 4.95843
176.792 4.65695
177.395 4.46714
178.602 4.23274
179.808 4.08240
181.015 3.97033
182.221 3.89832
182.523 3.90322
182.825 3.95511
182.976 4.03754
183.126 4.25046
183.202 4.49493
183.277 5.00210
183.315 5.47873
183.353 6.27313
183.390 7.68546
183.428 10.2880
183.464 14.2377
183.500 16.8860
183.536 14.2340
183.572 10.2792
183.604 7.96525
183.636 6.58933
183.668 5.75635
183.700 5.22813
183.765 4.63280
183.829 4.32690
183.957 4.03676
184.085 3.90606
184.342 3.78721
184.599 3.72896
185.626 3.61016
187.679 3.44000
189.733 3.27487
191.786 3.11989
193.840 3.02651
194.866 3.05195
195.893 3.19612
196.920 3.59461
197.947 4.58285
198.460 5.54780
198.973 7.13456
199.487 9.86596
199.743 11.9782
200.000 14.9065
200.232 18.6218
200.464 23.9546
200.696 32.2714
200.812 39.1510
200.870 44.7519
200.928 54.6475
201.000 71.8364
201.072 64.8237
201.151 64.1102
201.230 70.2363
201.387 91.8042
201.545 126.935
201.703 185.432
201.860 291.078
201.939 377.883
202.018 505.897
202.097 703.417
202.175 1024.45
202.254 1574.39
202.333 2539.60
202.417 4146.71
202.500 5287.51
202.584 4308.51
202.667 2742.29
202.730 1918.14
202.793 1381.67
202.857 1030.49
202.920 794.637
203.046 512.235
203.172 358.559
203.298 266.283
203.425 206.758
203.677 137.044
203.930 99.1927
204.182 76.2699
204.435 61.2611
204.687 50.8531
205.192 37.6447
205.697 29.8141
206.202 24.7385
206.707 21.2312
207.717 16.7735
208.727 14.1077
209.738 12.3583
