24-Cr_n-tot
>  24-Cr-50:0.043450
>  24-Cr-52:0.837898
>  24-Cr-53:0.095001
>  24-Cr-54:0.023650
4.484480e+03 2.83232947e+01
4.588800e+03 2.72257524e+01
4.839400e+03 2.38713593e+01
4.929500e+03 2.30666992e+01
5.000000e+03 2.28608024e+01
5.138630e+03 2.34640969e+01
5.230990e+03 2.46050998e+01
5.277250e+03 2.51450815e+01
5.346490e+03 2.65908986e+01
5.346560e+03 2.65921982e+01
5.404240e+03 2.82892065e+01
5.415880e+03 2.86113670e+01
5.433110e+03 2.94295034e+01
5.447550e+03 3.01004110e+01
5.454770e+03 3.04320629e+01
5.458370e+03 3.05969560e+01
5.460180e+03 3.06811827e+01
5.461080e+03 3.07298143e+01
5.461530e+03 3.07798527e+01
5.461650e+03 3.08146405e+01
5.461760e+03 3.08993542e+01
5.461820e+03 3.10073206e+01
5.461840e+03 3.11060807e+01
5.461870e+03 3.12740996e+01
5.461900e+03 3.15941949e+01
5.461910e+03 3.18754048e+01
5.461930e+03 3.23223333e+01
5.461940e+03 3.30900143e+01
5.461960e+03 3.51955328e+01
5.461970e+03 3.77938240e+01
5.461980e+03 4.34502219e+01
5.461990e+03 5.56756738e+01
5.462000e+03 6.11981358e+01
5.462010e+03 5.45388340e+01
5.462020e+03 4.59845284e+01
5.462030e+03 3.94065658e+01
5.462040e+03 3.60709615e+01
5.462050e+03 3.42869287e+01
5.462060e+03 3.33340159e+01
5.462070e+03 3.26596639e+01
5.462080e+03 3.22165550e+01
5.462100e+03 3.17112672e+01
5.462120e+03 3.14184521e+01
5.462130e+03 3.12501238e+01
5.462170e+03 3.10607180e+01
5.462250e+03 3.09120200e+01
5.462330e+03 3.08580873e+01
5.462480e+03 3.08207869e+01
5.462640e+03 3.08119451e+01
5.463260e+03 3.08239853e+01
5.464500e+03 3.08759607e+01
5.466990e+03 3.09872534e+01
5.471950e+03 3.12100152e+01
5.481890e+03 3.16527119e+01
5.485190e+03 3.17969219e+01
5.501760e+03 3.31629955e+01
5.541510e+03 3.63689125e+01
5.554500e+03 3.73666345e+01
5.621000e+03 4.54504528e+01
5.670600e+03 5.10430025e+01
5.699630e+03 5.00322526e+01
5.728650e+03 4.60025218e+01
5.786700e+03 3.60310169e+01
5.816400e+03 3.25662096e+01
5.837850e+03 2.98792160e+01
5.889000e+03 2.59988426e+01
5.940150e+03 2.36020895e+01
5.991300e+03 2.20538089e+01
6.011800e+03 2.16433629e+01
6.042450e+03 2.09915256e+01
6.093600e+03 2.02651815e+01
6.195900e+03 1.96039556e+01
6.343980e+03 2.00721761e+01
6.402600e+03 2.06435478e+01
6.492050e+03 2.19591976e+01
6.640130e+03 2.36999070e+01
6.765070e+03 2.37317436e+01
6.788200e+03 2.38320456e+01
7.084400e+03 2.10985619e+01
7.127530e+03 2.06849740e+01
7.380600e+03 1.88633211e+01
7.490000e+03 1.91358550e+01
7.500000e+03 1.91743089e+01
7.636700e+03 1.97002981e+01
7.852460e+03 2.32469635e+01
7.921950e+03 2.44443752e+01
8.207200e+03 2.81821971e+01
8.214930e+03 2.80777299e+01
8.492500e+03 2.44616488e+01
8.577390e+03 2.27444263e+01
8.750000e+03 1.93067024e+01
8.777800e+03 1.87530334e+01
8.939860e+03 1.64143325e+01
9.083350e+03 1.43674524e+01
9.121090e+03 1.40196087e+01
9.211710e+03 1.31903932e+01
9.257020e+03 1.27771910e+01
9.279670e+03 1.25711801e+01
9.285340e+03 1.25198252e+01
9.291000e+03 1.24689510e+01
9.293830e+03 1.24439658e+01
9.296660e+03 1.24199670e+01
9.298080e+03 1.24089090e+01
9.299490e+03 1.23996571e+01
9.300910e+03 1.23947299e+01
9.301620e+03 1.23961139e+01
9.302330e+03 1.24024382e+01
9.303160e+03 1.24175705e+01
9.304000e+03 1.24250440e+01
9.304840e+03 1.24022977e+01
9.305680e+03 1.23720085e+01
9.306350e+03 1.23535296e+01
9.307030e+03 1.23396145e+01
9.308390e+03 1.23191927e+01
9.309740e+03 1.23032273e+01
9.311100e+03 1.22889276e+01
9.313810e+03 1.22624471e+01
9.316520e+03 1.22370050e+01
9.321950e+03 1.21869915e+01
9.327370e+03 1.21374847e+01
9.349070e+03 1.19401778e+01
9.375000e+03 1.17050223e+01
9.388900e+03 1.15789649e+01
9.392470e+03 1.15572589e+01
9.479260e+03 1.10317023e+01
9.652840e+03 9.98797568e+00
9.687500e+03 9.78202198e+00
9.694450e+03 9.74072419e+00
1.000000e+04 8.45526004e+00
1.013440e+04 8.08313944e+00
1.020160e+04 7.89710965e+00
1.023520e+04 7.80421585e+00
1.024360e+04 7.78109882e+00
1.025200e+04 7.75823438e+00
1.025620e+04 7.74713965e+00
1.026040e+04 7.73696467e+00
1.026250e+04 7.73306301e+00
1.026360e+04 7.73183672e+00
1.026460e+04 7.73221199e+00
1.026570e+04 7.73530660e+00
1.026620e+04 7.73951915e+00
1.026670e+04 7.74707300e+00
1.026720e+04 7.76194093e+00
1.026750e+04 7.77417556e+00
1.026780e+04 7.79253701e+00
1.026800e+04 7.82154435e+00
1.026830e+04 7.86882721e+00
1.026850e+04 7.95114856e+00
1.026880e+04 8.09703043e+00
1.026910e+04 8.33384511e+00
1.026930e+04 8.48448773e+00
1.026960e+04 8.32307736e+00
