I-127(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
65.9006 215.962
65.9300 271.530
65.9595 220.358
65.9889 140.796
66.0133 96.1541
66.0376 68.3399
66.0620 50.8439
66.0863 39.4346
66.1350 26.2138
66.1837 19.2464
66.2324 15.1595
66.2812 12.5657
66.3786 9.58361
66.4760 7.99499
66.5734 7.04539
66.7682 6.00547
66.9631 5.46989
67.1579 5.15204
67.5475 4.79765
67.9372 4.60397
68.3268 4.47861
69.1062 4.31617
70.6648 4.11831
72.2234 3.98897
73.7820 3.94878
74.5613 4.02045
75.3407 4.26909
75.7303 4.54114
76.1200 5.01869
76.5096 5.89689
76.8993 7.64726
77.0941 9.19851
77.2889 11.6348
77.4838 15.7082
77.6786 23.1409
77.7760 29.3270
77.8734 38.5832
77.9708 53.2315
78.0683 78.2088
78.1170 97.7780
78.1657 125.522
78.2144 166.518
78.2631 230.304
78.3118 336.377
78.3605 528.241
78.3849 685.222
78.4092 912.830
78.4336 1249.78
78.4579 1747.77
78.4945 2827.38
78.5310 3574.75
78.5676 2893.88
78.6041 1831.14
78.6322 1267.88
78.6603 904.589
78.6884 669.405
78.7165 512.468
78.7728 326.448
78.8290 226.218
78.8852 166.602
78.9414 128.400
79.0539 84.0908
79.1663 60.3130
79.2787 46.0539
79.3912 36.8042
79.5036 30.4461
79.7285 22.4695
79.9533 17.8086
80.1782 14.8268
80.4031 12.7905
80.8528 10.2396
81.3026 8.73972
81.7523 7.76829
82.2021 7.09434
83.1015 6.22829
84.0010 5.70181
84.9005 5.36427
85.3503 5.27586
85.5751 5.33491
85.6876 5.54946
85.7438 5.87883
85.7719 6.19896
85.8000 6.71216
85.8700 8.29406
85.9400 6.68737
85.9742 6.07842
86.0084 5.73035
86.0768 5.39720
86.2135 5.17621
86.4870 5.05911
87.0340 5.01819
87.5810 5.10612
88.1280 5.42240
88.4015 5.75721
88.6750 6.32825
88.9485 7.34756
89.2220 9.31766
89.3588 11.0244
89.4955 13.6583
89.6323 17.9769
89.7690 25.6757
89.9058 41.1855
89.9741 55.4730
90.0425 79.1259
90.1109 122.074
90.1451 157.741
90.1793 210.949
90.2134 294.503
90.2476 433.793
90.2818 681.288
90.3160 1136.44
90.3490 1837.44
90.3820 2322.75
90.4150 1879.89
90.4480 1189.55
90.4853 699.994
90.5226 443.146
90.5599 302.089
90.5973 218.605
90.6346 165.728
90.6719 130.340
90.7465 87.5413
90.8211 63.6742
90.8958 49.0192
91.0450 32.6573
91.1943 24.1647
91.3435 19.1656
91.4928 15.9577
91.6420 13.7654
91.9405 11.0237
92.2390 9.41897
92.5375 8.38598
92.8360 7.67413
93.4330 6.76779
94.0300 6.22028
94.6270 5.85488
95.2240 5.59316
96.4180 5.24022
97.6120 5.00900
100.000 4.71303
102.146 4.53726
104.291 4.40343
108.583 4.19930
112.874 4.03590
117.165 3.88817
121.456 3.74130
125.748 3.58240
127.893 3.49442
130.039 3.40021
132.184 3.30868
133.257 3.28297
133.794 3.31106
134.062 3.42339
134.129 3.51084
134.196 3.68544
134.263 4.10095
134.297 4.53685
134.330 5.29598
134.365 6.51886
134.400 7.33434
134.435 6.52104
134.470 5.29970
134.510 4.43293
134.551 3.98847
134.631 3.60864
134.792 3.39847
135.114 3.33293
135.757 3.39740
136.401 3.60823
137.045 4.11092
137.366 4.59673
137.688 5.39981
138.010 6.80768
138.332 9.49814
138.493 11.8138
138.654 15.3700
138.815 21.1644
138.895 25.5059
138.975 31.4021
139.056 39.6818
139.136 51.7291
139.217 70.1682
139.297 100.126
139.378 153.150
139.418 195.941
139.458 258.076
139.498 352.389
139.539 501.569
139.579 748.748
139.619 1164.98
139.665 1886.81
139.710 2389.81
139.756 1941.92
139.801 1234.06
139.848 763.177
139.894 500.615
139.941 349.128
139.988 256.667
140.034 196.592
140.081 155.755
140.174 105.459
140.267 76.8774
140.361 59.1114
140.547 39.0508
140.734 28.5098
140.920 22.2586
141.107 18.2230
141.293 15.4527
141.666 11.9711
142.039 9.92525
142.413 8.60541
142.786 7.69611
143.532 6.54319
144.278 5.86588
144.651 5.64385
145.024 5.52431
145.211 5.55615
145.397 5.79785
145.490 6.15948
145.537 6.49579
145.584 7.04313
145.630 7.99945
145.677 9.82862
145.700 11.4049
145.723 13.8028
145.747 17.5654
145.770 23.4980
145.800 34.8187
145.830 42.6173
145.860 35.5004
145.890 24.3361
145.921 16.9243
145.951 12.7851
145.982 10.3939
146.013 8.92613
146.074 7.31515
146.135 6.50396
146.196 6.03520
146.258 5.73769
146.380 5.38635
146.625 5.05418
146.870 4.88326
147.360 4.68043
147.850 4.54327
149.810 4.18979
151.770 3.96462
152.750 3.90721
152.995 3.92196
153.240 3.99562
153.363 4.10120
153.485 4.35925
153.546 4.64206
153.608 5.19692
153.638 5.69150
153.669 6.46639
153.699 7.73623
153.730 9.84589
153.765 13.4867
153.800 15.9116
153.835 13.4830
153.870 9.83670
153.899 7.81890
153.928 6.56856
153.956 5.78080
153.985 5.26933
154.043 4.67623
154.100 4.36399
154.215 4.06244
154.330 3.92476
154.560 3.79956
154.789 3.73922
155.709 3.62409
157.547 3.48299
159.386 3.37374
161.224 3.31762
162.143 3.33752
163.063 3.43038
163.982 3.67590
164.901 4.27631
165.361 4.86534
165.820 5.84701
166.280 7.57934
166.740 10.9093
