82-Pb_n-g
> 82-Pb-204:0.014000
> 82-Pb-206:0.241000
> 82-Pb-207:0.221000
> 82-Pb-208:0.524000
1.335610e+03 1.06991745e-02
1.335950e+03 8.55873753e-03
1.336640e+03 5.93357053e-03
1.337320e+03 4.45367656e-03
1.338010e+03 3.53716756e-03
1.338690e+03 2.93066359e-03
1.340060e+03 2.20290662e-03
1.341430e+03 1.80025205e-03
1.342800e+03 1.55429248e-03
1.344170e+03 1.39319811e-03
1.346910e+03 1.20211797e-03
1.349650e+03 1.09771463e-03
1.355130e+03 9.93917754e-04
1.360610e+03 9.46627675e-04
1.366100e+03 9.21909567e-04
1.377060e+03 9.00067809e-04
1.420910e+03 9.05300749e-04
1.464760e+03 9.60657888e-04
1.500000e+03 1.05614620e-03
1.508600e+03 1.08051695e-03
1.530530e+03 1.18871181e-03
1.552450e+03 1.35631886e-03
1.574380e+03 1.63395572e-03
1.596300e+03 2.14083177e-03
1.607270e+03 2.56727091e-03
1.618230e+03 3.21664783e-03
1.629190e+03 4.27616876e-03
1.640150e+03 6.18028168e-03
1.645630e+03 7.76110615e-03
1.651110e+03 1.01392306e-02
1.656600e+03 1.39573093e-02
1.657970e+03 1.52758224e-02
1.659340e+03 1.67997575e-02
1.660710e+03 1.85756926e-02
1.661390e+03 1.95758711e-02
1.662080e+03 2.06621477e-02
1.662760e+03 2.18468462e-02
1.663450e+03 2.31379429e-02
1.664130e+03 2.45508413e-02
1.664820e+03 2.61012180e-02
1.665500e+03 2.78074164e-02
1.666190e+03 2.96911331e-02
1.667560e+03 3.40973882e-02
1.668930e+03 3.95907433e-02
1.670300e+03 4.65472384e-02
1.671670e+03 5.55400336e-02
1.673040e+03 6.74416087e-02
1.674410e+03 8.36556038e-02
1.675780e+03 1.06477179e-01
1.677150e+03 1.39999934e-01
1.678520e+03 1.91917149e-01
1.679890e+03 2.78036504e-01
1.680580e+03 3.43533981e-01
1.681260e+03 4.33660259e-01
1.681950e+03 5.61172136e-01
1.682630e+03 7.46687414e-01
1.683320e+03 1.02256709e+00
1.684000e+03 1.43224477e+00
1.685000e+03 2.29027659e+00
1.686000e+03 2.86069241e+00
1.687000e+03 2.28708423e+00
1.688000e+03 1.42910805e+00
1.688610e+03 1.05741775e+00
1.689220e+03 7.96103437e-01
1.690440e+03 4.82639018e-01
1.691660e+03 3.17798600e-01
1.692880e+03 2.23303982e-01
1.694090e+03 1.64807566e-01
1.695310e+03 1.26377908e-01
1.697750e+03 8.08997318e-02
1.700190e+03 5.61464557e-02
1.702630e+03 4.12588395e-02
1.707500e+03 2.50412090e-02
1.712380e+03 1.68850567e-02
1.717250e+03 1.22200022e-02
1.722130e+03 9.30661195e-03
1.727000e+03 7.36699345e-03
1.736750e+03 5.02699866e-03
1.746500e+03 3.72352187e-03
1.756250e+03 2.92404508e-03
1.766000e+03 2.39866029e-03
1.785500e+03 1.77284531e-03
1.805000e+03 1.42827913e-03
1.824500e+03 1.21830195e-03
1.844000e+03 1.08072296e-03
1.883000e+03 9.16828604e-04
1.922000e+03 8.26178044e-04
1.961000e+03 7.70699683e-04
2.000000e+03 7.34573523e-04
2.059640e+03 7.05057493e-04
2.119270e+03 6.93501814e-04
2.178910e+03 6.98730984e-04
2.238540e+03 7.28777705e-04
2.268360e+03 7.60570390e-04
2.298180e+03 8.13307075e-04
2.327990e+03 9.04351711e-04
2.339210e+03 9.68435326e-04
2.357810e+03 1.07476482e-03
2.372720e+03 1.21961891e-03
2.387630e+03 1.44118460e-03
2.402540e+03 1.80360290e-03
2.417450e+03 2.45540679e-03
2.424900e+03 2.99624709e-03
2.432350e+03 3.80900938e-03
2.439810e+03 5.11168658e-03
2.443540e+03 6.07926418e-03
2.445400e+03 6.68338353e-03
