74-W_n-tot
>  74-W-180:0.001200
>  74-W-182:0.265106
>  74-W-183:0.143157
>  74-W-184:0.306122
>  74-W-186:0.284414
1.457720e+01 4.38977540e+01
1.476030e+01 4.79513406e+01
1.485180e+01 4.99788668e+01
1.487180e+01 5.04224571e+01
1.494340e+01 5.28797717e+01
1.496630e+01 5.36660923e+01
1.498910e+01 5.44491780e+01
1.500000e+01 5.48236429e+01
1.501200e+01 5.52371838e+01
1.502350e+01 5.56335729e+01
1.503490e+01 5.60265891e+01
1.504640e+01 5.64231057e+01
1.505780e+01 5.68162549e+01
1.506920e+01 5.72094764e+01
1.508070e+01 5.76062082e+01
1.510360e+01 5.83964867e+01
1.512650e+01 5.91871267e+01
1.514930e+01 5.99747434e+01
1.517220e+01 6.07662567e+01
1.521800e+01 6.23509271e+01
1.526380e+01 6.39383446e+01
1.530950e+01 6.55259724e+01
1.535530e+01 6.71219738e+01
1.540110e+01 6.87248144e+01
1.541310e+01 6.91473298e+01
1.544690e+01 7.10942511e+01
1.549260e+01 7.37411052e+01
1.553840e+01 7.64157454e+01
1.558420e+01 7.91260171e+01
1.563000e+01 8.18975218e+01
1.567570e+01 8.47774682e+01
1.569860e+01 8.62963604e+01
1.572150e+01 8.79004050e+01
1.574440e+01 8.96387414e+01
1.576730e+01 9.15987704e+01
1.579020e+01 9.39494116e+01
1.581300e+01 9.70289173e+01
1.583590e+01 1.01594349e+02
1.584740e+01 1.04869631e+02
1.585880e+01 1.09130464e+02
1.587940e+01 1.19370006e+02
1.590000e+01 1.26708947e+02
1.592070e+01 1.22006023e+02
1.594130e+01 1.14173415e+02
1.595440e+01 1.11014212e+02
1.595720e+01 1.10467594e+02
1.597300e+01 1.09045567e+02
1.598890e+01 1.08710481e+02
1.600470e+01 1.09023244e+02
1.603640e+01 1.10729480e+02
1.606810e+01 1.13152980e+02
1.609990e+01 1.15925366e+02
1.613160e+01 1.18865571e+02
1.619500e+01 1.25012076e+02
1.625000e+01 1.30491296e+02
1.625840e+01 1.31329558e+02
1.632180e+01 1.37734674e+02
1.638520e+01 1.44180782e+02
1.644860e+01 1.50650436e+02
1.649580e+01 1.55481263e+02
1.657550e+01 1.69045461e+02
1.670230e+01 1.90652258e+02
1.676640e+01 2.01581713e+02
1.682920e+01 2.17611644e+02
1.687500e+01 2.29304958e+02
1.695600e+01 2.50006304e+02
1.703710e+01 2.70737022e+02
1.720970e+01 3.40808055e+02
1.730770e+01 3.80596602e+02
1.746330e+01 4.89177980e+02
1.750000e+01 5.14788696e+02
