C-13(n,tot) JEFF-3.2
Energy(eV) XS(b)
3.75300E+06 3.74272
3.75800E+06 4.07329
3.76800E+06 3.44003
3.77112E+06 3.25249
3.77424E+06 3.11612
3.78047E+06 2.94424
3.78670E+06 2.84588
3.79294E+06 2.78333
3.80541E+06 2.70654
3.81788E+06 2.65740
3.84281E+06 2.58725
3.86775E+06 2.52979
3.91763E+06 2.42504
3.96750E+06 2.32485
4.04952E+06 2.16272
4.13154E+06 1.98384
4.16500E+06 1.89415
4.18000E+06 1.84794
4.24125E+06 1.59921
4.27188E+06 1.42544
4.28719E+06 1.32963
4.30250E+06 1.25931
4.35000E+06 1.62173
4.36188E+06 1.58108
4.37375E+06 1.52393
4.39750E+06 1.42271
4.43188E+06 1.32599
4.46625E+06 1.26895
4.53500E+06 1.20957
4.59150E+06 1.17922
4.64800E+06 1.14748
4.67625E+06 1.12596
4.70450E+06 1.09341
4.71863E+06 1.06738
4.72569E+06 1.04931
4.73275E+06 1.02552
4.73981E+06 0.992560
4.74688E+06 0.944644
4.75394E+06 0.878136
4.75747E+06 0.853849
4.76100E+06 0.903690
4.76325E+06 1.04894
4.76550E+06 1.30568
4.76775E+06 1.54443
4.77000E+06 1.64045
4.77225E+06 1.62947
4.77450E+06 1.58074
4.77900E+06 1.48034
4.78295E+06 1.41494
4.78691E+06 1.36757
4.79086E+06 1.33240
4.79481E+06 1.30542
4.80272E+06 1.26671
4.81063E+06 1.23997
4.82644E+06 1.20424
4.84225E+06 1.17994
4.87388E+06 1.14453
4.90550E+06 1.11448
4.93713E+06 1.08270
4.96875E+06 1.04246
5.00038E+06 0.982698
5.01619E+06 0.948156
5.02409E+06 0.946135
5.03200E+06 0.998003
5.03950E+06 1.18694
5.04700E+06 1.52087
5.05450E+06 1.67953
5.06200E+06 1.62003
5.07175E+06 1.49576
5.08150E+06 1.40668
5.09125E+06 1.34997
5.10100E+06 1.31668
5.11075E+06 1.30459
5.12050E+06 1.32128
5.13025E+06 1.39519
5.13513E+06 1.47554
5.14000E+06 1.60662
5.14750E+06 1.93118
5.15500E+06 2.20185
5.17000E+06 1.78939
5.17538E+06 1.63719
5.18075E+06 1.52882
5.18613E+06 1.45183
5.19150E+06 1.39581
5.20225E+06 1.32141
5.21300E+06 1.27479
5.22375E+06 1.24276
5.23450E+06 1.21915
5.25600E+06 1.18587
5.27750E+06 1.16256
5.29900E+06 1.14455
5.34200E+06 1.11681
5.42800E+06 1.07527
5.51400E+06 1.03924
5.60000E+06 1.00169
5.68600E+06 0.957039
5.77200E+06 0.904207
5.81500E+06 0.891664
5.85800E+06 0.957287
5.90300E+06 1.25837
5.92550E+06 1.43288
5.94800E+06 1.51580
5.99300E+06 1.47689
6.03800E+06 1.38842
6.08281E+06 1.32184
6.12763E+06 1.27578
6.17244E+06 1.24360
6.21725E+06 1.22073
6.30688E+06 1.19303
6.39650E+06 1.18155
6.48613E+06 1.18301
6.57575E+06 1.19797
6.66538E+06 1.22894
6.75500E+06 1.27286
6.85250E+06 1.28549
6.90125E+06 1.24304
6.95000E+06 1.17123
6.95010E+06 1.17107
6.95010E+06 0.936551
7.00000E+06 1.53410
7.20000E+06 1.53203
7.39644E+06 1.52582
7.40000E+06 1.53042
7.60000E+06 1.52926
7.76083E+06 1.52867
7.80000E+06 1.52852
8.00000E+06 1.52817
8.07315E+06 1.51185
8.07315E+06 1.51185
8.13242E+06 1.50410
8.28220E+06 1.50469
8.28220E+06 1.50469
8.50000E+06 1.52877
8.83607E+06 1.51947
8.83607E+06 1.51947
9.00000E+06 1.53112
9.50000E+06 1.53474
9.54727E+06 1.53387
1.00000E+07 1.53913
1.02367E+07 1.53643
1.02367E+07 1.53643
1.05000E+07 1.54390
1.05521E+07 1.54270
1.05537E+07 1.54267
1.06647E+07 1.54011
1.06647E+07 1.54011
1.07902E+07 1.54334
1.08807E+07 1.54566
1.09946E+07 1.54854
1.10000E+07 1.54868
1.12714E+07 1.54756
1.14723E+07 1.55252
1.15000E+07 1.55345
1.15871E+07 1.54934
1.15871E+07 1.54934
1.16571E+07 1.54789
1.16572E+07 1.54789
1.18490E+07 1.55161
1.19395E+07 1.55572
1.20000E+07 1.56206
1.20743E+07 1.56328
1.21199E+07 1.56403
1.21200E+07 1.56403
1.22586E+07 1.56627
1.25000E+07 1.57003
1.26593E+07 1.56439
1.27670E+07 1.56303
1.27671E+07 1.56303
1.28770E+07 1.56659
1.30000E+07 1.57727
1.30451E+07 1.57542
1.30709E+07 1.57469
1.30709E+07 1.57469
1.30817E+07 1.57458
1.31323E+07 1.57447
1.31324E+07 1.57447
1.32016E+07 1.57554
1.32655E+07 1.57652
1.32668E+07 1.57654
1.32668E+07 1.57654
1.33837E+07 1.57830
1.33838E+07 1.57830
1.34028E+07 1.57862
1.34028E+07 1.57862
1.35000E+07 1.58488
1.36352E+07 1.58762
1.36353E+07 1.58762
1.40000E+07 1.59506
1.40084E+07 1.59498
1.41206E+07 1.59379
1.41269E+07 1.59371
1.42607E+07 1.59225
1.43101E+07 1.59169
1.44502E+07 1.59007
1.45000E+07 1.58948
1.46226E+07 1.59014
1.48274E+07 1.59116
1.50000E+07 1.59192
1.52261E+07 1.58574
1.55000E+07 1.57806
1.55215E+07 1.57744
1.56732E+07 1.57309
1.60000E+07 1.56347
1.64945E+07 1.56114
1.64946E+07 1.56114
1.65000E+07 1.56111
1.70000E+07 1.55812
1.73882E+07 1.55546
1.74440E+07 1.55505
1.75000E+07 1.55463
1.75216E+07 1.55446
1.76018E+07 1.55383
1.76358E+07 1.55356
1.80000E+07 1.55050
1.80867E+07 1.54976
1.81734E+07 1.54899
1.82980E+07 1.54788
1.85000E+07 1.54598
1.87934E+07 1.54307
1.88388E+07 1.54261
1.88917E+07 1.54206
1.90000E+07 1.54093
1.90489E+07 1.54044
1.91373E+07 1.53952
1.93186E+07 1.53760
1.94288E+07 1.53639
1.94412E+07 1.53625
1.95000E+07 1.53559
1.96233E+07 1.53420
2.00000E+07 1.52975
2.01263E+07 1.52804
2.10000E+07 1.51634
2.20000E+07 1.50260
2.25235E+07 1.49492
2.30000E+07 1.48792
2.40000E+07 1.47239
2.50000E+07 1.45576
2.52913E+07 1.45059
2.54824E+07 1.44720
2.55027E+07 1.44684
2.57263E+07 1.44287
2.57623E+07 1.44223
2.60000E+07 1.43802
2.63054E+07 1.43236
2.70000E+07 1.41950
2.72733E+07 1.41437
2.80000E+07 1.40071
2.90000E+07 1.38180
3.00000E+07 1.36306
3.00000E+07 1.37218
3.10000E+07 1.35423
3.20000E+07 1.33582
3.30000E+07 1.31758
3.40000E+07 1.29897
3.50000E+07 1.28059
3.60000E+07 1.26196
3.70000E+07 1.24361
3.80000E+07 1.22509
3.90000E+07 1.20690
4.00000E+07 1.18861
4.10000E+07 1.17067
4.20000E+07 1.15269
4.30000E+07 1.13509
4.40000E+07 1.11750
4.50000E+07 1.10030
4.60000E+07 1.08315
4.70000E+07 1.06639
4.80000E+07 1.04972
4.90000E+07 1.03344
5.00000E+07 1.01728
5.10000E+07 1.00148
5.20000E+07 0.985840
5.30000E+07 0.970585
5.40000E+07 0.955480
5.50000E+07 0.940750
5.60000E+07 0.926180
5.70000E+07 0.911990
5.80000E+07 0.897960
5.90000E+07 0.884300
6.00000E+07 0.870800
6.10000E+07 0.857800
6.20000E+07 0.844970
6.30000E+07 0.832300
6.40000E+07 0.819790
6.50000E+07 0.807450
6.60000E+07 0.795704
6.70000E+07 0.784118
6.80000E+07 0.772692
6.90000E+07 0.761436
7.00000E+07 0.750330
7.10000E+07 0.739752
7.20000E+07 0.729324
7.30000E+07 0.719056
7.40000E+07 0.708938
7.50000E+07 0.698970
7.60000E+07 0.689470
7.70000E+07 0.680020
7.80000E+07 0.670800
7.90000E+07 0.661730
8.00000E+07 0.652900
8.10000E+07 0.644488
8.20000E+07 0.636216
8.30000E+07 0.628184
8.40000E+07 0.620172
8.50000E+07 0.612400
8.60000E+07 0.604648
8.70000E+07 0.597026
8.80000E+07 0.589634
8.90000E+07 0.582252
9.00000E+07 0.574990
9.10000E+07 0.568347
9.20000E+07 0.561714
9.30000E+07 0.555291
9.40000E+07 0.548888
9.50000E+07 0.542585
9.60000E+07 0.536482
9.70000E+07 0.530389
9.80000E+07 0.524396
9.90000E+07 0.518593
1.00000E+08 0.512790
1.02000E+08 0.502164
1.04000E+08 0.491808
1.06000E+08 0.481892
1.08000E+08 0.472296
1.10000E+08 0.462930
1.12000E+08 0.454416
1.14000E+08 0.446192
1.16000E+08 0.438158
1.18000E+08 0.430484
1.20000E+08 0.423050
1.22000E+08 0.416134
1.24000E+08 0.409528
1.26000E+08 0.403152
1.28000E+08 0.396896
1.30000E+08 0.390930
1.32000E+08 0.385354
1.34000E+08 0.380048
1.36000E+08 0.374912
1.38000E+08 0.369876
1.40000E+08 0.365070
1.42000E+08 0.360564
1.44000E+08 0.356288
1.46000E+08 0.352152
1.48000E+08 0.348076
1.50000E+08 0.344210
1.52000E+08 0.340568
1.54000E+08 0.337116
1.56000E+08 0.333784
1.58000E+08 0.330492
1.60000E+08 0.327370
1.62000E+08 0.324483
1.64000E+08 0.321756
1.66000E+08 0.319069
1.68000E+08 0.316532
1.70000E+08 0.314015
1.72000E+08 0.311658
1.74000E+08 0.309381
1.76000E+08 0.307114
1.78000E+08 0.304987
1.80000E+08 0.302870
1.82000E+08 0.301118
1.84000E+08 0.299376
1.86000E+08 0.297754
1.88000E+08 0.296144
1.90000E+08 0.294658
1.92000E+08 0.293234
1.94000E+08 0.291808
1.96000E+08 0.290503
1.98000E+08 0.289195
2.00000E+08 0.288005
