Sb-123(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
106.163 24.8801
106.365 20.4325
106.567 17.3959
106.972 13.5936
107.376 11.3650
107.781 9.92833
108.186 8.93847
108.995 7.68087
109.804 6.92726
110.613 6.43086
111.422 6.08149
113.040 5.62500
114.659 5.34121
116.277 5.14781
117.895 5.00724
121.132 4.81480
124.368 4.68589
125.986 4.63463
127.605 4.59061
128.414 4.57490
128.818 4.57244
129.223 4.58015
129.627 4.61620
129.830 4.66242
130.032 4.75695
130.133 4.84144
130.234 4.97398
130.335 5.19480
130.437 5.59321
130.538 6.40588
130.588 7.15997
130.639 8.41134
130.689 10.6962
130.715 12.5986
130.740 15.4278
130.765 19.8871
130.791 27.3205
130.816 40.5073
130.841 64.5408
130.866 101.587
130.890 127.340
130.915 104.592
130.939 68.3145
130.961 46.2044
130.983 32.9852
131.006 24.8941
131.028 19.7622
131.072 13.9332
131.116 10.9266
131.160 9.17833
131.205 8.07805
131.293 6.81650
131.382 6.14517
131.470 5.74417
131.559 5.48377
131.647 5.30414
131.824 5.07693
132.001 4.94227
132.178 4.85450
132.355 4.79332
132.710 4.71398
133.064 4.66466
133.772 4.60544
134.480 4.56945
135.188 4.54388
136.604 4.50723
139.437 4.45742
142.270 4.42025
147.935 4.36181
153.600 4.31360
159.265 4.26961
164.931 4.22575
170.596 4.17802
172.012 4.16541
173.429 4.15400
174.137 4.15084
174.491 4.15142
174.845 4.15566
175.199 4.16902
175.376 4.18403
175.553 4.21235
175.730 4.27247
175.819 4.33026
175.907 4.43025
175.996 4.62449
176.040 4.79816
176.084 5.07718
176.128 5.56710
176.173 6.52888
176.195 7.39310
176.217 8.75807
176.239 11.0251
176.261 14.8576
176.286 21.3273
176.310 25.6213
176.335 21.3004
176.359 14.8588
176.378 11.4939
176.396 9.33394
176.415 7.94120
176.434 7.01942
176.471 5.92797
176.508 5.34372
176.546 4.99787
176.583 4.77847
176.658 4.52634
176.732 4.39257
176.807 4.31333
176.956 4.22754
177.105 4.18398
177.255 4.15841
177.553 4.12991
177.852 4.11395
178.150 4.10304
178.747 4.08723
179.941 4.06231
181.135 4.03802
182.329 4.01198
183.523 3.98495
184.120 3.97376
184.717 3.97309
185.016 3.98807
185.165 4.00733
185.314 4.04532
185.464 4.12764
185.538 4.20693
185.613 4.34327
185.687 4.60459
185.725 4.83337
185.762 5.19417
185.799 5.80670
185.837 6.95368
185.855 7.93010
185.874 9.39096
185.893 11.6683
185.911 15.1946
185.936 21.9725
185.960 26.4905
185.984 21.9726
186.009 15.1934
186.031 11.1574
186.053 8.77032
186.075 7.33324
186.097 6.42653
186.141 5.41139
186.186 4.89516
186.230 4.59857
186.274 4.41349
186.362 4.20425
186.451 4.09402
186.539 4.02832
186.716 3.95528
187.069 3.89021
187.422 3.85731
188.129 3.82068
188.835 3.81882
189.189 3.84625
189.542 3.91704
189.895 4.07902
190.249 4.45339
190.425 4.81325
190.602 5.40683
190.779 6.44602
190.955 8.42443
191.044 10.1229
