Si-29(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
397830 5.28829
401996 4.86892
406163 4.46128
414495 3.82950
422828 3.40785
431160 3.12096
447825 2.77559
464490 2.60432
481155 2.55323
497820 2.62974
514485 2.89762
522818 3.14380
531150 3.49477
536260 3.76927
541370 4.08800
543925 4.26303
545203 4.35563
546480 4.45465
547758 4.56875
548396 4.63925
549035 4.73026
549674 4.86559
550313 5.11069
550632 5.32887
550951 5.68483
551271 6.30946
551590 7.45585
551916 9.41560
552242 11.0915
552568 10.2968
552894 8.53939
553108 7.66607
553321 7.04853
553748 6.31336
554175 5.93387
554602 5.72280
555029 5.59857
555456 5.52306
556311 5.44883
557165 5.42565
558019 5.42628
559727 5.45706
563144 5.53769
566560 5.58322
575413 5.43532
584265 4.99061
601970 3.97077
607120 3.73176
610165 3.60612
613210 3.49159
614733 3.43930
616255 3.39603
617016 3.38692
617397 3.39223
617778 3.41310
618158 3.46866
618539 3.61353
618729 3.76676
618919 4.04128
619110 4.56334
619300 5.59539
619483 7.32792
619665 8.85577
619847 8.19009
620029 6.62455
620211 5.50530
620394 4.83730
620576 4.43207
620759 4.17273
621123 3.87281
621488 3.71068
621853 3.61109
622217 3.54404
622947 3.45916
623676 3.40684
624406 3.37073
625864 3.32362
628782 3.27981
631700 3.28047
637535 3.43765
640452 3.63917
643370 3.97457
645540 4.34201
646449 4.53831
647359 4.78900
647813 4.96646
648268 5.24149
648495 5.46026
648722 5.79001
648950 6.32242
649177 7.21753
649452 8.97915
649726 10.5490
650001 10.0259
650275 8.65005
650623 7.47824
650971 6.88201
651319 6.57181
651668 6.40060
652364 6.23851
653060 6.16542
655485 5.93532
657910 5.52418
662760 4.58308
665999 4.10246
669237 3.75326
675714 3.31511
682191 3.06713
688668 2.91322
701621 2.72934
708098 2.63944
711337 2.54508
712146 2.50212
712956 2.44566
713361 2.41686
713765 2.40821
713968 2.43245
714170 2.50993
714373 2.70903
714575 3.17371
714820 4.30590
714943 4.93098
715065 5.29038
715554 4.49836
715858 3.97325
716162 3.65512
716466 3.45536
716770 3.32197
717399 3.15437
718028 3.05871
719286 2.95534
721803 2.86893
726835 2.81710
736900 2.82363
746965 2.88620
757030 2.95144
767095 2.80524
777160 2.29953
782193 2.13859
787225 2.13454
789741 2.20524
792258 2.35106
794774 2.62639
797290 3.13678
799775 3.93651
802260 4.47839
804745 3.97858
807230 3.21801
809629 2.74113
812028 2.46836
814426 2.30927
816825 2.21189
821623 2.10750
826420 2.05792
835315 2.02046
844210 2.02129
853105 2.09887
857553 2.23046
862000 2.54108
863820 2.76416
868150 3.60116
872480 4.39247
881150 3.70668
885791 3.25712
890431 2.97141
899713 2.66308
918275 2.41334
936838 2.29256
946119 2.23613
948439 2.21816
950759 2.19693
951920 2.18654
953080 2.18500
953660 2.19973
953950 2.21882
954240 2.25469
954530 2.32348
954820 2.46159
955110 2.75855
955400 3.43519
955891 5.70860
956137 5.50331
956383 4.55275
956553 4.00960
956724 3.61651
956894 3.33742
957065 3.13653
957405 2.87662
957746 2.72168
958087 2.62139
958428 2.55222
959109 2.46414
959791 2.41093
960472 2.37538
961835 2.33052
964561 2.28335
967287 2.25659
978192 2.19823
1.00000E+06 2.12618
1.03775E+06 2.05499
1.05663E+06 2.10177
1.07550E+06 2.35229
1.07850E+06 2.42646
1.08845E+06 2.75875
1.09342E+06 2.96746
1.09591E+06 3.07672
1.09715E+06 3.13085
1.09777E+06 3.15764
1.09809E+06 3.17496
1.09824E+06 3.20331
1.09832E+06 3.27703
1.09836E+06 3.42569
1.09840E+06 4.03372
1.09843E+06 4.99570
1.09846E+06 4.14775
1.09849E+06 3.61653
1.09852E+06 3.42355
1.09858E+06 3.29792
1.09870E+06 3.24202
1.09894E+06 3.22821
1.09942E+06 3.23983
1.10037E+06 3.27747
1.10229E+06 3.35614
1.10421E+06 3.43174
1.10613E+06 3.50264
1.10996E+06 3.63090
1.11380E+06 3.76571
1.11531E+06 3.84516
