19-K_n-g
>   19-K-39:0.932690
>   19-K-41:0.067310
1.132730e+03 1.14212714e-02
1.139670e+03 8.32661741e-03
1.153550e+03 6.07233836e-03
1.167430e+03 5.25733075e-03
1.195180e+03 4.63607617e-03
1.222930e+03 4.38370055e-03
1.250000e+03 4.26531676e-03
1.278440e+03 4.14239956e-03
1.333940e+03 4.00267564e-03
1.375000e+03 3.93798333e-03
1.500000e+03 3.75049528e-03
1.555960e+03 3.67556595e-03
1.625000e+03 3.62375047e-03
1.687500e+03 3.59390337e-03
1.750000e+03 3.59005538e-03
1.812500e+03 3.64548384e-03
1.843750e+03 3.72277515e-03
1.875000e+03 3.87212237e-03
1.906250e+03 4.17435252e-03
1.921880e+03 4.44305291e-03
1.937500e+03 4.86673090e-03
1.953130e+03 5.58259098e-03
1.960940e+03 6.13866614e-03
1.968750e+03 6.92216790e-03
1.972660e+03 7.43969572e-03
1.976560e+03 8.07461529e-03
1.980470e+03 8.86521926e-03
1.984380e+03 9.86661085e-03
1.988280e+03 1.11608239e-02
1.992190e+03 1.28729539e-02
1.996090e+03 1.52042776e-02
2.000000e+03 1.84928048e-02
2.003550e+03 2.28127067e-02
2.007100e+03 2.92543505e-02
2.010650e+03 3.94692512e-02
2.014200e+03 5.70855458e-02
2.015980e+03 7.11139074e-02
2.017750e+03 9.13818333e-02
2.019530e+03 1.22177018e-01
2.021300e+03 1.72147445e-01
2.023080e+03 2.60769889e-01
2.023960e+03 3.32982071e-01
2.024850e+03 4.38834375e-01
2.025740e+03 6.01850937e-01
2.026630e+03 8.66376176e-01
2.027510e+03 1.32131635e+00
2.028400e+03 2.12261967e+00
2.029310e+03 3.39086504e+00
2.030210e+03 4.24410466e+00
2.031120e+03 3.40019307e+00
2.032030e+03 2.12335110e+00
2.032600e+03 1.55541021e+00
2.033180e+03 1.16068455e+00
2.034320e+03 6.95323556e-01
2.035470e+03 4.54764080e-01
2.036610e+03 3.18423183e-01
2.037760e+03 2.34668793e-01
2.038910e+03 1.79949863e-01
2.041200e+03 1.15546355e-01
2.043490e+03 8.06723631e-02
2.045780e+03 5.97686027e-02
2.050360e+03 3.70689419e-02
2.054940e+03 2.56801672e-02
2.059530e+03 1.91765352e-02
2.064110e+03 1.51187483e-02
2.068690e+03 1.24192746e-02
2.077860e+03 9.16250506e-03
2.087020e+03 7.34797691e-03
2.096190e+03 6.23376144e-03
2.105350e+03 5.50040490e-03
2.123690e+03 4.62363028e-03
2.142020e+03 4.13720529e-03
2.160350e+03 3.83749790e-03
2.178680e+03 3.63816972e-03
2.215340e+03 3.39356548e-03
2.252000e+03 3.24996576e-03
2.288660e+03 3.15428259e-03
2.325330e+03 3.08420935e-03
2.398650e+03 2.98322537e-03
2.471970e+03 2.90788444e-03
2.618620e+03 2.78840259e-03
2.639500e+03 2.77394269e-03
2.765270e+03 2.71684022e-03
2.799380e+03 2.70393281e-03
2.911920e+03 2.68995087e-03
2.959250e+03 2.68864659e-03
2.985240e+03 2.72623524e-03
3.058570e+03 2.84903014e-03
3.095230e+03 2.93277783e-03
3.119130e+03 3.02901808e-03
3.131890e+03 3.15157940e-03
3.150220e+03 3.41558528e-03
3.159090e+03 3.66532252e-03
3.168550e+03 4.06001039e-03
3.177720e+03 4.78813440e-03
3.182300e+03 5.42106421e-03
3.186880e+03 6.49807765e-03
3.191470e+03 8.68541758e-03
3.193760e+03 1.08029702e-02
3.196050e+03 1.45907097e-02
3.197190e+03 1.77367772e-02
3.198340e+03 2.24829381e-02
3.199060e+03 2.72772926e-02
3.199490e+03 3.01566592e-02
3.200630e+03 4.37426242e-02
3.201200e+03 5.48510447e-02
3.201780e+03 7.13212081e-02
3.202350e+03 9.72476285e-02
3.202920e+03 1.41403582e-01
3.203500e+03 2.26125757e-01
3.203780e+03 3.01081410e-01
3.204070e+03 4.20114167e-01
3.204360e+03 6.26412157e-01
3.204640e+03 1.02219360e+00
3.204780e+03 1.36778406e+00
3.204930e+03 1.90278509e+00
3.205070e+03 2.76388843e+00
3.205210e+03 4.16532179e+00
3.205380e+03 6.67409183e+00
3.205550e+03 8.33546421e+00
3.205730e+03 6.65884621e+00
3.205900e+03 4.16583289e+00
3.206090e+03 2.38874875e+00
3.206290e+03 1.47766058e+00
3.206490e+03 9.86350449e-01
3.206680e+03 6.99702148e-01
3.206880e+03 5.20322807e-01
3.207080e+03 4.01465814e-01
3.207470e+03 2.59817249e-01
3.207860e+03 1.81869404e-01
3.208260e+03 1.34723810e-01
3.209050e+03 8.31805442e-02
3.209830e+03 5.71079010e-02
3.210620e+03 4.21810057e-02
3.211410e+03 3.28483014e-02
3.212190e+03 2.66351676e-02
3.213770e+03 1.91536313e-02
3.215340e+03 1.50156056e-02
