Si-30(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 7.84334
1.25000E-05 7.27472
1.50000E-05 6.85499
2.00000E-05 6.26582
2.75000E-05 5.70522
3.50000E-05 5.33628
4.25000E-05 5.06994
5.00000E-05 4.86604
6.25000E-05 4.61174
7.50000E-05 4.42403
0.000100000 4.16055
0.000125000 3.98074
0.000150000 3.84800
0.000200000 3.66169
0.000275000 3.48442
0.000350000 3.36775
0.000425000 3.28352
0.000500000 3.21904
0.000625000 3.13863
0.000750000 3.07927
0.00100000 2.99595
0.00125000 2.93909
0.00150000 2.89711
0.00200000 2.83820
0.00275000 2.78214
0.00350000 2.74524
0.00425000 2.71861
0.00500000 2.69822
0.00625000 2.67279
0.00750000 2.65402
0.0100000 2.62767
0.0125000 2.60969
0.0150000 2.59641
0.0200000 2.57778
0.0253000 2.56443
0.0314750 2.55335
0.0376500 2.54513
0.0500000 2.53352
0.0625000 2.52548
0.0750000 2.51954
0.100000 2.51121
0.125000 2.50552
0.150000 2.50133
0.200000 2.49543
0.275000 2.48983
0.350000 2.48614
0.500000 2.48144
0.750000 2.47701
1.00000 2.47438
1.50000 2.47125
2.00000 2.46939
2.75000 2.46761
3.50000 2.46644
5.00000 2.46495
7.50000 2.46355
10.0000 2.46270
15.0000 2.46170
20.0000 2.46110
27.5000 2.46051
35.0000 2.46012
50.0000 2.45960
75.0000 2.45908
100.000 2.45874
150.000 2.45826
200.000 2.45792
275.000 2.45750
350.000 2.45714
500.000 2.45651
750.000 2.45560
1000.00 2.45477
1250.00 2.45406
1500.00 2.45362
1625.00 2.45366
1750.00 2.45417
1812.50 2.45481
1875.00 2.45595
1937.50 2.45811
2000.00 2.46253
2029.29 2.46626
2058.59 2.47212
2087.88 2.48201
2117.18 2.50046
2131.82 2.51627
2146.47 2.54074
2161.12 2.58143
2175.76 2.65639
2183.09 2.72005
2190.41 2.81788
2197.73 2.97939
2205.06 3.27420
2208.72 3.52262
2212.38 3.90164
2216.04 4.52154
2219.70 5.63848
2221.53 6.56805
2223.37 7.96944
2225.20 10.2245
2227.03 14.1924
2227.94 17.4212
2228.86 22.1740
2229.77 29.5970
2230.69 42.0845
2231.60 65.5338
2232.06 85.7723
2232.52 117.176
2232.98 169.636
2233.43 265.064
2233.66 344.065
2233.89 459.947
2234.12 634.003
2234.35 893.962
2234.68 1429.58
2235.00 1784.91
2235.33 1427.83
2235.65 894.300
2235.99 544.212
2236.32 351.302
2236.66 241.503
2236.99 175.154
2237.33 132.368
2237.66 103.539
2238.33 68.3660
2239.00 48.6948
2239.67 36.6379
2241.00 23.2775
2242.34 16.4427
2243.68 12.4945
2245.02 10.0092
2246.36 8.34462
2249.03 6.32271
2251.71 5.18908
2254.39 4.49011
2257.06 4.02891
2262.42 3.47710
2267.77 3.17210
2273.12 2.98582
2278.47 2.86375
2289.18 2.71863
2299.88 2.63885
2310.59 2.59028
2321.29 2.55849
2342.70 2.52073
2364.11 2.49994
2385.52 2.48724
2406.93 2.47889
2449.75 2.46890
2492.57 2.46330
2535.39 2.45982
2578.21 2.45748
2663.85 2.45455
2749.49 2.45278
2920.77 2.45068
3092.05 2.44937
3263.33 2.44837
3605.90 2.44681
3948.46 2.44551
4291.02 2.44449
4462.30 2.44425
4633.58 2.44479
4719.22 2.44613
4762.04 2.44767
4804.86 2.45064
4847.68 2.45728
4869.09 2.46405
4890.50 2.47658
4901.20 2.48725
4911.91 2.50366
4922.61 2.53079
4933.32 2.58038
4938.67 2.62221
4944.02 2.68609
4949.38 2.79072
4954.73 2.97965
4957.41 3.13724
4960.08 3.37522
4962.76 3.75924
4965.43 4.43819
4966.77 4.99289
4968.11 5.81317
4969.45 7.10009
4970.79 9.28502
4972.13 13.4348
4972.79 17.0628
4973.46 22.7848
4974.13 32.5160
4974.80 50.8122
4975.14 66.4398
4975.47 89.9923
4975.81 126.856
4976.14 184.509
4976.57 293.934
4977.00 366.664
4977.43 293.705
4977.86 184.596
4978.21 125.324
4978.55 88.1229
4978.90 64.5947
4979.25 49.1884
4979.94 31.3029
4980.63 21.8826
4981.32 16.3778
4982.01 12.9019
4983.40 8.94339
4984.78 6.86429
4986.16 5.64217
4987.55 4.86414
4988.93 4.33903
4991.70 3.69551
4994.47 3.33171
4997.23 3.10615
5000.00 2.95672
5004.88 2.79302
5009.77 2.69669
5014.65 2.63525
5019.53 2.59366
5029.30 2.54257
5039.06 2.51355
5048.83 2.49548
5058.59 2.48346
5078.13 2.46895
5097.66 2.46082
5117.19 2.45580
5156.25 2.45013
5195.31 2.44713
5234.38 2.44532
5312.50 2.44326
5468.75 2.44132
5625.00 2.44024
5937.50 2.43875
6250.00 2.43753
7500.00 2.43309
10000.0 2.42450
15000.0 2.40721
20000.0 2.38952
27500.0 2.36208
35000.0 2.33334
50000.0 2.27094
75000.0 2.14535
100000 1.97159
119623 1.76688
129434 1.62175
139245 1.42690
149056 1.15006
153962 0.963804
158868 0.732460
163773 0.448334
168679 0.137154
169905 0.0719349
170518 0.0455256
171132 0.0252778
171745 0.0132657
172051 0.0111558
172358 0.0121638
172665 0.0167473
172971 0.0254264
173278 0.0387931
173584 0.0575206
174198 0.114227
174811 0.203024
175424 0.333561
176037 0.518236
176650 0.772825
177264 1.11709
178490 2.17525
179740 3.96376
180990 6.64457
183490 13.0553
184740 14.7620
185990 14.8919
188490 12.8121
