Rb-85(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
474.765 14.4782
474.967 9.24083
475.169 6.40829
475.370 4.71059
475.774 2.86875
476.178 1.94554
476.582 1.41906
476.986 1.09120
477.389 0.873684
478.197 0.612743
479.004 0.469145
480.619 0.327351
482.234 0.265417
483.849 0.236306
487.080 0.220475
493.540 0.260729
500.000 0.374474
503.235 0.475152
506.470 0.629677
509.705 0.881588
512.940 1.33120
514.558 1.70123
516.175 2.25307
517.793 3.12823
519.410 4.63784
520.219 5.84046
521.028 7.57838
521.836 10.2208
522.645 14.5118
523.454 22.1333
523.858 28.3487
524.263 37.4807
524.667 51.5592
525.071 74.4939
525.476 114.041
525.880 184.078
526.290 294.407
526.700 367.705
527.110 293.866
527.520 183.549
527.990 105.576
528.460 65.4089
528.931 43.6654
529.401 30.9522
529.871 22.9825
530.341 17.6973
531.281 11.3815
532.221 7.91518
533.162 5.81915
535.042 3.53238
536.923 2.39690
538.803 1.80439
539.744 1.67358
540.684 1.75834
541.154 2.03159
541.389 2.32745
541.624 2.86164
541.859 3.92371
541.977 4.87804
542.094 6.41467
542.212 9.09755
542.329 14.3194
542.388 18.9357
542.447 26.1471
542.506 37.9357
542.564 57.4022
542.632 91.2859
542.700 113.888
542.768 91.2788
542.836 57.3823
542.885 40.4651
542.934 29.3383
542.983 22.0093
543.032 17.0623
543.130 11.1162
543.228 7.87830
543.326 5.94240
543.424 4.69879
543.621 3.25410
543.817 2.47718
544.013 2.00974
544.405 1.49196
545.190 1.05173
545.975 0.854216
547.545 0.654174
549.115 0.540388
552.254 0.400936
555.394 0.314158
561.672 0.211206
567.951 0.154056
574.230 0.119829
580.509 0.100342
583.649 0.0968624
586.788 0.104038
588.358 0.120481
589.143 0.138298
589.928 0.171598
590.712 0.242638
591.105 0.312043
591.497 0.434905
591.890 0.683303
592.086 0.915096
592.282 1.30706
592.478 2.04669
592.576 2.68882
592.675 3.69415
592.773 5.38587
592.871 8.51545
592.920 11.1429
592.969 15.0428
593.018 21.0165
593.067 30.1489
593.134 48.2130
593.200 60.2329
593.267 48.1887
593.333 30.1548
593.393 19.4636
