Br-81(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
341.904 0.229590
342.125 0.167855
342.345 0.131574
342.786 0.0928417
343.227 0.0739438
343.668 0.0638652
344.550 0.0568432
345.432 0.0628400
345.873 0.0730833
346.314 0.0935406
346.755 0.137556
346.976 0.179923
347.196 0.253157
347.417 0.395240
347.527 0.522053
347.637 0.725952
347.747 1.08325
347.858 1.78521
347.913 2.41378
347.968 3.40845
348.023 5.05994
348.078 7.85084
348.139 12.5544
348.200 15.6937
348.261 12.5564
348.322 7.85315
348.363 5.65387
348.404 4.16235
348.485 2.44755
348.567 1.58478
348.648 1.10438
348.729 0.812544
348.811 0.623426
348.974 0.402561
349.137 0.283749
349.300 0.212817
349.626 0.135969
349.951 0.0974171
350.277 0.0753532
350.929 0.0523007
351.581 0.0410783
352.233 0.0347693
353.536 0.0283352
356.143 0.0240925
358.750 0.0240994
361.357 0.0277124
362.661 0.0320890
363.964 0.0404641
365.268 0.0586474
365.919 0.0767116
366.571 0.109292
366.897 0.136388
367.223 0.177193
367.549 0.242741
367.875 0.357808
368.200 0.588256
368.363 0.801553
368.526 1.15880
368.689 1.82437
368.771 2.39429
368.852 3.27258
368.934 4.72204
369.015 7.31771
369.097 12.4760
369.137 16.9559
369.178 23.5298
369.239 37.5674
369.300 46.8975
369.361 37.5733
369.422 23.5373
369.486 14.2076
369.550 9.10702
369.613 6.22266
369.677 4.48602
369.741 3.37190
369.805 2.62223
369.932 1.71101
370.060 1.20256
370.187 0.891838
370.442 0.548169
370.697 0.372730
370.952 0.271466
371.207 0.207785
371.462 0.165162
371.972 0.113436
372.483 0.0844438
373.503 0.0547913
374.523 0.0406874
375.543 0.0328841
377.583 0.0249781
381.664 0.0191810
385.744 0.0171045
402.067 0.0152716
434.711 0.0163527
467.356 0.0200254
500.000 0.0287614
515.017 0.0372066
530.034 0.0536330
537.543 0.0690716
545.052 0.0970221
548.806 0.122074
552.560 0.168053
554.437 0.213364
556.314 0.312919
557.253 0.431158
557.722 0.540873
558.192 0.730645
558.661 1.11042
558.896 1.46577
559.130 2.07190
559.365 3.23783
559.482 4.27233
559.599 5.93170
559.717 8.82633
559.834 14.4928
559.893 19.5398
559.951 27.4909
560.010 40.6422
560.039 50.2759
560.069 62.6746
560.102 80.1800
560.134 100.119
560.200 125.071
560.266 100.109
560.331 62.6648
560.402 37.3904
560.472 23.8111
560.543 16.2307
560.613 11.7020
560.684 8.82094
560.754 6.88918
560.895 4.55612
561.036 3.26290
561.177 2.47587
561.459 1.61168
561.741 1.17612
562.023 0.928941
562.587 0.679428
563.151 0.569686
563.715 0.519521
564.843 0.498851
567.099 0.601365
569.355 0.864666
570.483 1.09497
571.611 1.44718
572.739 2.01964
573.866 3.03774
574.430 3.87276
574.994 5.11343
575.558 7.07161
576.122 10.4238
576.404 13.0745
576.686 16.8775
576.968 22.6019
577.250 31.7659
577.532 47.7099
577.673 60.4387
577.814 78.7624
577.955 106.236
578.096 149.338
578.237 219.942
578.378 337.178
578.539 539.364
578.700 674.005
578.861 539.063
579.022 336.873
579.195 200.321
579.368 127.060
579.541 86.1763
579.714 61.7555
579.887 46.2195
580.060 35.8009
580.405 23.2124
580.751 16.2269
581.097 11.9683
581.789 7.27362
582.480 4.88541
583.172 3.50980
583.863 2.64642
584.555 2.06957
585.938 1.37127
587.322 0.981310
588.705 0.742002
590.088 0.584961
592.854 0.398984
595.621 0.298282
601.154 0.201745
606.687 0.163371
612.220 0.150551
623.286 0.168636
628.819 0.199036
634.351 0.251110
639.884 0.340635
645.417 0.505509
648.184 0.643668
650.950 0.852473
653.717 1.18896
655.100 1.44006
656.483 1.78206
657.867 2.26459
659.250 2.97620
660.633 4.08777
662.016 5.96356
662.708 7.42563
663.399 9.49448
664.091 12.5527
664.783 17.3302
665.474 25.3455
666.166 40.1084
666.512 52.4334
666.857 70.6885
667.203 98.4461
667.549 140.712
668.025 225.023
668.500 281.036
668.976 224.640
669.451 140.338
669.751 102.758
670.051 76.6382
670.652 45.8401
671.252 29.9155
671.853 20.8825
672.453 15.3388
673.053 11.7167
674.254 7.45168
675.455 5.14340
676.656 3.75930
679.057 2.25674
681.459 1.50324
683.861 1.07307
686.262 0.804780
688.664 0.626365
693.467 0.411479
698.270 0.292516
703.073 0.223302
705.475 0.212665
706.075 0.222253
706.675 0.257374
706.976 0.306083
707.276 0.428907
707.426 0.571382
707.576 0.875883
707.651 1.17338
707.726 1.69077
707.801 2.67193
707.876 4.64454
707.938 7.33210
708.000 9.12019
708.062 7.32703
708.124 4.64325
708.186 2.91822
708.248 1.95335
708.310 1.39764
708.372 1.05853
708.496 0.689728
708.620 0.506917
708.869 0.340122
709.117 0.268582
709.613 0.208570
710.110 0.183313
712.096 0.147789
716.068 0.120553
724.012 0.0895222
739.900 0.0572287
755.788 0.0423577
763.732 0.0421798
765.718 0.0461234
767.704 0.0591103
768.697 0.0776215
769.193 0.0959606
769.690 0.128853
770.186 0.196624
770.435 0.261188
770.683 0.372777
770.931 0.590815
771.055 0.787106
771.179 1.10653
771.304 1.67533
771.366 2.14079
771.428 2.82539
771.490 3.88565
771.552 5.61735
771.614 8.62582
771.676 13.9864
771.738 22.3577
771.800 27.9382
771.862 22.3592
771.924 13.9883
771.962 10.3335
772.001 7.77326
772.077 4.71058
772.153 3.10568
772.229 2.18720
772.306 1.62005
772.382 1.24781
