74-W_n-g
>  74-W-180:0.001200
>  74-W-182:0.265106
>  74-W-183:0.143157
>  74-W-184:0.306122
>  74-W-186:0.284414
1.457720e+01 9.17421052e+00
1.476030e+01 9.87880051e+00
1.485180e+01 1.02327103e+01
1.487180e+01 1.03104689e+01
1.494340e+01 1.07201818e+01
1.496630e+01 1.08515968e+01
1.498910e+01 1.09826279e+01
1.500000e+01 1.10453600e+01
1.501200e+01 1.11162163e+01
1.502350e+01 1.11841947e+01
1.503490e+01 1.12516528e+01
1.504640e+01 1.13197517e+01
1.505780e+01 1.13873353e+01
1.506920e+01 1.14549870e+01
1.508070e+01 1.15232886e+01
1.510360e+01 1.16595472e+01
1.512650e+01 1.17961439e+01
1.514930e+01 1.19325458e+01
1.517220e+01 1.20699564e+01
1.521800e+01 1.23463007e+01
1.526380e+01 1.26251776e+01
1.530950e+01 1.29068155e+01
1.535530e+01 1.31935338e+01
1.540110e+01 1.34864478e+01
1.541310e+01 1.35654962e+01
1.544690e+01 1.39002397e+01
1.549260e+01 1.43658019e+01
1.553840e+01 1.48519548e+01
1.558420e+01 1.53696346e+01
1.563000e+01 1.59411716e+01
1.567570e+01 1.66115693e+01
1.569860e+01 1.70134255e+01
1.572150e+01 1.74890907e+01
1.574440e+01 1.80807884e+01
1.576730e+01 1.88633985e+01
1.579020e+01 1.99812426e+01
1.581300e+01 2.17261359e+01
1.583590e+01 2.47317471e+01
1.584740e+01 2.70735192e+01
1.585880e+01 3.02495432e+01
1.587940e+01 3.80963127e+01
1.590000e+01 4.33691325e+01
1.592070e+01 3.84194531e+01
1.594130e+01 3.09311685e+01
1.595440e+01 2.77468127e+01
1.595720e+01 2.70848634e+01
1.597300e+01 2.47681773e+01
1.598890e+01 2.33667417e+01
1.600470e+01 2.25201277e+01
1.603640e+01 2.17301213e+01
1.606810e+01 2.15418316e+01
1.609990e+01 2.16378921e+01
1.613160e+01 2.18804235e+01
1.619500e+01 2.25855968e+01
1.625000e+01 2.33182477e+01
1.625840e+01 2.34319077e+01
1.632180e+01 2.43535756e+01
1.638520e+01 2.53084212e+01
1.644860e+01 2.62821852e+01
1.649580e+01 2.70185161e+01
1.657550e+01 2.90350376e+01
1.670230e+01 3.22642030e+01
1.676640e+01 3.39018676e+01
1.682920e+01 3.62581878e+01
1.687500e+01 3.79787112e+01
1.695600e+01 4.10443185e+01
1.703710e+01 4.41165763e+01
1.720970e+01 5.42858390e+01
1.730770e+01 6.00621216e+01
1.746330e+01 7.55236948e+01
1.750000e+01 7.91708975e+01
1.757840e+01 8.70060304e+01
1.771700e+01 1.13156165e+02
1.784900e+01 1.38061866e+02
1.797070e+01 1.78112082e+02
1.798440e+01 1.82620676e+02
1.811970e+01 2.52940135e+02
1.812500e+01 2.57638728e+02
1.825500e+01 3.72962401e+02
1.828130e+01 4.17063520e+02
1.839040e+01 6.00045555e+02
1.843750e+01 7.35946032e+02
1.845800e+01 7.95102340e+02
1.847800e+01 8.82873456e+02
1.851560e+01 1.04788327e+03
1.852570e+01 1.09221015e+03
1.859330e+01 1.56044628e+03
1.859380e+01 1.56593125e+03
1.863280e+01 1.99376687e+03
1.865240e+01 2.20878350e+03
1.866100e+01 2.30312832e+03
1.867190e+01 2.47908380e+03
1.869140e+01 2.79386807e+03
1.871090e+01 3.10865393e+03
1.873050e+01 3.42505535e+03
1.874550e+01 3.66720087e+03
1.875000e+01 3.71457021e+03
1.876950e+01 3.91983913e+03
1.878910e+01 4.12616213e+03
1.880860e+01 4.33143468e+03
1.882810e+01 4.53670917e+03
1.883000e+01 4.55671055e+03
1.886720e+01 4.14959343e+03
1.890630e+01 3.72169131e+03
1.891450e+01 3.63195529e+03
1.898440e+01 2.50422969e+03
1.898530e+01 2.48971011e+03
1.899900e+01 2.26868989e+03
1.906160e+01 1.57755508e+03
1.906250e+01 1.57107695e+03
1.912410e+01 1.12772463e+03
1.914060e+01 1.05034084e+03
1.918670e+01 8.34169408e+02
1.921880e+01 7.33197697e+02
1.924930e+01 6.37302215e+02
1.937440e+01 4.03416376e+02
1.937500e+01 4.02813685e+02
1.949270e+01 2.84885463e+02
1.949950e+01 2.78072283e+02
1.953130e+01 2.59311663e+02
1.962460e+01 2.04621150e+02
1.968750e+01 1.81462644e+02
1.974980e+01 1.58886562e+02
1.984380e+01 1.40105191e+02
2.000000e+01 1.10376205e+02
2.012590e+01 1.01038414e+02
2.023440e+01 9.53571113e+01
2.025180e+01 9.52535452e+01
2.037760e+01 9.94387814e+01
2.046880e+01 1.09555002e+02
2.050350e+01 1.14525416e+02
2.056640e+01 1.30549209e+02
2.062940e+01 1.55075535e+02
2.069230e+01 1.94220020e+02
2.075530e+01 2.60647417e+02
2.081820e+01 3.84221019e+02
2.084970e+01 4.88947735e+02
2.088110e+01 6.48269011e+02
2.091260e+01 9.05044647e+02
2.091440e+01 9.30452668e+02
2.093750e+01 1.25652229e+03
2.094410e+01 1.34981325e+03
2.097550e+01 2.18620236e+03
2.099130e+01 2.87555732e+03
2.100700e+01 3.84479201e+03
2.103350e+01 6.13051486e+03
2.106000e+01 7.64758926e+03
2.108650e+01 6.11589114e+03
2.111300e+01 3.82848174e+03
2.114120e+01 2.29506916e+03
2.116940e+01 1.46744045e+03
2.119760e+01 1.00362471e+03
2.122580e+01 7.25653613e+02
2.125410e+01 5.48304181e+02
2.128230e+01 4.29046766e+02
2.133870e+01 2.84354821e+02
2.139510e+01 2.03495109e+02
2.140630e+01 1.93615140e+02
2.145150e+01 1.54125825e+02
2.156440e+01 9.92231954e+01
2.167720e+01 7.06740349e+01
2.173690e+01 6.16859121e+01
2.179000e+01 5.36949586e+01
2.182890e+01 4.98623219e+01
2.187500e+01 4.53203114e+01
2.190290e+01 4.26909179e+01
2.201570e+01 3.53244989e+01
2.224140e+01 2.57897449e+01
2.234380e+01 2.30589282e+01
2.246710e+01 2.00647906e+01
2.260530e+01 1.77593595e+01
2.269280e+01 1.63057411e+01
2.274330e+01 1.56758528e+01
2.281250e+01 1.48127261e+01
2.291840e+01 1.36918636e+01
2.303950e+01 1.28001242e+01
2.336980e+01 1.03936156e+01
2.347380e+01 9.85752669e+00
2.365770e+01 8.93242328e+00
2.375000e+01 8.46811854e+00
2.382120e+01 8.20046445e+00
2.390800e+01 7.96266323e+00
2.427250e+01 7.04093005e+00
2.434220e+01 6.90291011e+00
2.468750e+01 6.35366024e+00
2.472390e+01 6.31820609e+00
2.477640e+01 6.28912743e+00
2.499350e+01 6.28119213e+00
2.521060e+01 6.39950723e+00
2.542770e+01 6.71802776e+00
2.548660e+01 6.89590956e+00
2.562500e+01 7.31389419e+00
2.562660e+01 7.31941788e+00
2.564490e+01 7.38762777e+00
2.586200e+01 8.81417945e+00
2.607910e+01 1.14994557e+01
2.618760e+01 1.37695163e+01
2.629620e+01 1.72028735e+01
2.640470e+01 2.27111514e+01
2.651330e+01 3.23027619e+01
2.652930e+01 3.45684223e+01
2.656760e+01 3.99968274e+01
2.662190e+01 5.11669707e+01
2.667610e+01 6.82298256e+01
2.673040e+01 9.61002657e+01
2.678470e+01 1.46014204e+02
2.681180e+01 1.87049274e+02
2.683900e+01 2.47809910e+02
2.686610e+01 3.42491732e+02
2.689320e+01 4.99024649e+02
2.692040e+01 7.74594190e+02
2.694750e+01 1.27588559e+03
2.697380e+01 2.03962777e+03
2.700000e+01 2.55099522e+03
2.702630e+01 2.04293974e+03
2.705250e+01 1.27749615e+03
2.707890e+01 7.84486420e+02
2.710530e+01 5.09456526e+02
2.713170e+01 3.51384685e+02
2.715810e+01 2.54984993e+02
2.718450e+01 1.92744055e+02
2.721090e+01 1.50547997e+02
2.726360e+01 9.89980904e+01
2.731550e+01 7.05671394e+01
2.731640e+01 7.00741172e+01
2.736920e+01 5.23102561e+01
2.743200e+01 4.05726091e+01
2.747480e+01 3.25760304e+01
2.750000e+01 3.01574879e+01
2.758030e+01 2.24717294e+01
2.768590e+01 1.66184323e+01
2.779150e+01 1.29213699e+01
2.789700e+01 1.04342403e+01
2.810820e+01 7.38651309e+00
2.831930e+01 5.64526399e+00
2.833480e+01 5.56434381e+00
2.853040e+01 4.55346871e+00
2.874150e+01 3.81156315e+00
2.914440e+01 2.91400348e+00
2.916380e+01 2.87078546e+00
2.937500e+01 2.58056285e+00
2.958600e+01 2.31469833e+00
3.000830e+01 1.95573181e+00
3.014020e+01 1.87275557e+00
3.043060e+01 1.69997625e+00
3.097320e+01 1.46949875e+00
3.125000e+01 1.35192726e+00
3.127510e+01 1.34270847e+00
3.194560e+01 1.17199380e+00
3.211960e+01 1.13047392e+00
3.312500e+01 9.61197734e-01
3.375110e+01 8.75770844e-01
3.380860e+01 8.68411681e-01
3.463100e+01 7.98830313e-01
