Sb-123(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 194.578
1.25000E-05 174.036
1.50000E-05 158.873
2.00000E-05 137.588
2.75000E-05 117.335
3.50000E-05 104.007
4.25000E-05 94.3845
5.00000E-05 87.0183
6.25000E-05 77.8315
7.50000E-05 71.0502
0.000100000 61.5314
0.000125000 55.0354
0.000150000 50.2403
0.000200000 43.5095
0.000275000 37.1052
0.000350000 32.8904
0.000425000 29.8476
0.000500000 27.5183
0.000625000 24.6133
0.000750000 22.4689
0.00100000 19.4589
0.00125000 17.4048
0.00150000 15.8886
0.00200000 13.7603
0.00275000 11.7353
0.00350000 10.4027
0.00425000 9.44066
0.00500000 8.70422
0.00625000 7.78583
0.00750000 7.10795
0.0100000 6.15652
0.0125000 5.50733
0.0150000 5.02818
0.0200000 4.35574
0.0253000 3.87387
0.0314750 3.47434
0.0376500 3.17777
0.0500000 2.75943
0.0625000 2.46984
0.0750000 2.25623
0.100000 1.95671
0.125000 1.75261
0.150000 1.60218
0.200000 1.39149
0.275000 1.19182
0.350000 1.06107
0.500000 0.895700
0.750000 0.742616
1.00000 0.653414
1.50000 0.551652
2.00000 0.495106
2.75000 0.447345
3.50000 0.422284
5.00000 0.407119
7.50000 0.443221
10.0000 0.553214
12.5000 0.794394
13.7500 1.01710
15.0000 1.38293
16.2500 2.04342
16.8750 2.59408
17.5000 3.42702
18.1250 4.77615
18.7500 7.18158
19.0625 9.16600
19.3750 12.1376
19.6875 16.8837
20.0000 25.1703
20.1646 32.2916
20.3292 42.9792
20.4938 60.0875
20.6584 90.0179
20.7407 114.214
20.8229 149.686
20.9052 204.687
20.9875 296.526
21.0698 466.716
21.1110 611.752
21.1521 834.506
21.1933 1199.57
21.2344 1848.44
21.2550 2371.51
21.2756 3120.33
21.2961 4212.67
21.3167 5800.48
21.3484 9270.36
21.3800 11574.0
21.4117 9252.03
21.4433 5779.72
21.4712 3757.10
21.4991 2544.33
21.5270 1806.08
21.5549 1336.68
21.6106 807.149
21.6664 535.965
21.7222 380.307
21.7780 283.276
21.8895 174.059
22.0011 117.442
22.1126 84.4366
22.2242 63.5566
22.3357 49.5267
22.5588 32.4472
22.7819 22.8534
23.0050 16.9395
23.2281 13.0419
23.6743 8.39168
24.1205 5.83329
24.5667 4.27978
25.0129 3.26778
25.9053 2.07574
26.7977 1.42923
27.6901 1.04112
28.5825 0.790770
30.3673 0.499521
32.1521 0.344246
33.9369 0.252825
35.7217 0.195413
39.2912 0.133793
42.8608 0.114899
44.6456 0.124774
45.5380 0.140199
46.4304 0.170652
47.3228 0.234352
47.7690 0.293437
48.2152 0.391342
48.6614 0.569806
48.8845 0.719545
49.1076 0.946927
49.3307 1.31633
49.5538 1.97594
49.6654 2.51983
49.7769 3.33284
49.8885 4.62655
50.0000 6.86922
50.1137 11.3981
50.1706 15.5646
50.2274 22.5060
50.2843 35.3157
50.3127 46.1856
50.3411 62.8000
50.3695 89.8496
50.3980 137.442
50.4122 175.433
50.4264 229.307
50.4406 307.015
50.4548 418.595
50.4774 669.443
50.5000 836.487
50.5226 669.125
50.5452 418.206
50.5612 295.019
50.5773 213.310
50.5933 159.061
50.6093 122.155
50.6413 77.5902
50.6734 53.2191
50.7054 38.6174
50.7375 29.2423
50.8016 18.3855
50.8656 12.6011
50.9297 9.16829
50.9938 6.96868
51.0579 5.47655
51.1861 3.64096
51.3143 2.59867
51.4424 1.95090
51.5706 1.52115
51.8269 1.00447
52.0833 0.717607
52.3396 0.542020
52.5960 0.426792
53.1087 0.289694
53.6214 0.214280
54.6467 0.138294
55.6721 0.102587
56.6975 0.0830024
58.7483 0.0637005
60.7990 0.0558023
62.8498 0.0537021
64.9005 0.0575076
65.9259 0.0680637
66.1823 0.0767340
66.4386 0.0984128
66.5668 0.125317
66.6309 0.149967
66.6950 0.191041
66.7591 0.267146
66.7911 0.332061
66.8231 0.431950
66.8552 0.596108
66.8872 0.889083
66.9193 1.46690
66.9353 1.96639
66.9513 2.69637
66.9757 4.27771
67.0000 5.33243
67.0244 4.27949
67.0487 2.69878
67.0675 1.86955
67.0862 1.33887
67.1049 0.997431
67.1237 0.770872
67.1612 0.504348
67.1986 0.362220
