Mg-25(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2.04402E+06 2.85790
2.50000E+06 2.66147
2.66730E+06 2.60022
2.84822E+06 2.53967
2.91418E+06 2.51896
3.00000E+06 2.49303
3.17628E+06 2.44205
3.26939E+06 2.41719
3.50000E+06 2.36238
3.54267E+06 2.35266
3.55151E+06 2.35066
4.00000E+06 2.25995
4.06556E+06 2.24820
4.13100E+06 2.23683
4.22348E+06 2.22143
4.44966E+06 2.18599
4.50000E+06 2.17856
4.53539E+06 2.17343
4.90160E+06 2.12450
4.91262E+06 2.12313
5.00000E+06 2.11253
5.21454E+06 2.08796
5.50000E+06 2.05821
6.00000E+06 2.01305
6.50000E+06 1.97531
7.00000E+06 1.94396
7.50000E+06 1.91784
7.62787E+06 1.91219
8.00000E+06 1.89639
8.32296E+06 1.88474
9.00000E+06 1.86523
9.05172E+06 1.86366
9.50000E+06 1.85290
1.00000E+07 1.84637
1.02843E+07 1.84148
1.07757E+07 1.83660
1.10000E+07 1.83557
1.20000E+07 1.82946
1.25510E+07 1.82611
1.30000E+07 1.82563
1.30424E+07 1.82542
1.40000E+07 1.82299
1.50000E+07 1.82086
1.60000E+07 1.81934
1.70000E+07 1.81859
1.80000E+07 1.81846
1.90000E+07 1.81889
2.00000E+07 1.81970
