57-La_n-g
> 57-La-139:1.000000
2.487540e+02 3.56412000e-02
2.489320e+02 2.16029000e-02
2.492880e+02 1.12772000e-02
2.496450e+02 7.57677000e-03
2.510690e+02 3.92130000e-03
2.539180e+02 2.93650000e-03
2.596150e+02 2.58529000e-03
2.710100e+02 2.31412000e-03
2.938000e+02 1.95227000e-03
3.165900e+02 1.68992000e-03
3.279850e+02 1.62463000e-03
3.336830e+02 1.76754000e-03
3.365310e+02 2.51873000e-03
3.379560e+02 5.56505000e-03
3.383120e+02 8.68260000e-03
3.386680e+02 1.74059000e-02
3.388460e+02 2.92907000e-02
3.390240e+02 6.17857000e-02
3.391130e+02 1.04785000e-01
3.392020e+02 2.17347000e-01
3.392460e+02 3.58163000e-01
3.392690e+02 4.86616000e-01
3.392910e+02 6.97010000e-01
3.393130e+02 1.07977000e+00
3.393240e+02 1.39680000e+00
3.393350e+02 1.87147000e+00
3.393470e+02 2.63041000e+00
3.393580e+02 3.90315000e+00
3.393690e+02 6.21247000e+00
3.393800e+02 1.05841000e+01
3.393900e+02 1.69547000e+01
3.394000e+02 2.11407000e+01
3.394100e+02 1.68880000e+01
3.394200e+02 1.05848000e+01
3.394300e+02 6.56257000e+00
3.394400e+02 4.30627000e+00
3.394500e+02 2.98999000e+00
3.394590e+02 2.17842000e+00
3.394790e+02 1.28991000e+00
3.394990e+02 8.47053000e-01
3.395180e+02 5.97132000e-01
3.395380e+02 4.43031000e-01
3.395770e+02 2.71335000e-01
3.396550e+02 1.31957000e-01
3.397340e+02 7.80584000e-02
3.398910e+02 3.69935000e-02
3.400470e+02 2.18811000e-02
3.403610e+02 1.07286000e-02
3.406750e+02 6.72570000e-03
3.419290e+02 2.78073000e-03
3.444380e+02 1.75681000e-03
3.494560e+02 1.46375000e-03
3.594930e+02 1.32678000e-03
3.795650e+02 1.18405000e-03
4.197100e+02 9.88177000e-04
5.000000e+02 7.84212000e-04
5.293390e+02 7.78824000e-04
5.586780e+02 8.81127000e-04
5.733470e+02 1.06699000e-03
5.806820e+02 1.26301000e-03
5.880170e+02 1.62974000e-03
5.953510e+02 2.42754000e-03
5.990190e+02 3.23060000e-03
6.026860e+02 4.70696000e-03
6.045200e+02 5.96011000e-03
6.063530e+02 7.88720000e-03
6.081870e+02 1.10749000e-02
6.100210e+02 1.69214000e-02
6.109380e+02 2.18758000e-02
6.118540e+02 2.94825000e-02
6.127710e+02 4.20420000e-02
6.136880e+02 6.50101000e-02
6.141470e+02 8.44197000e-02
6.146050e+02 1.14131000e-01
6.150630e+02 1.62982000e-01
6.155220e+02 2.51789000e-01
6.157510e+02 3.26361000e-01
6.159800e+02 4.39837000e-01
6.162090e+02 6.24851000e-01
6.164390e+02 9.57063000e-01
6.165530e+02 1.23256000e+00
6.166680e+02 1.64663000e+00
6.167820e+02 2.31038000e+00
6.168970e+02 3.47302000e+00
6.170120e+02 5.79255000e+00
6.170690e+02 7.93070000e+00
6.171260e+02 1.15001000e+01
6.171830e+02 1.81069000e+01
6.172120e+02 2.37411000e+01
6.172410e+02 3.23521000e+01
6.172690e+02 4.64774000e+01
6.172980e+02 7.14056000e+01
6.173120e+02 9.15613000e+01
6.173270e+02 1.20141000e+02
6.173410e+02 1.61623000e+02
6.173550e+02 2.21596000e+02
6.173780e+02 3.54862000e+02
6.174000e+02 4.43168000e+02
6.174220e+02 3.54207000e+02
6.174450e+02 2.21573000e+02
6.174660e+02 1.40806000e+02
6.174860e+02 9.37373000e+01
6.175070e+02 6.57394000e+01
6.175280e+02 4.83009000e+01
6.175690e+02 2.88768000e+01
6.176110e+02 1.90667000e+01
6.176520e+02 1.34747000e+01
6.176940e+02 1.00178000e+01
6.177770e+02 6.14569000e+00
6.178600e+02 4.14459000e+00
6.179430e+02 2.98222000e+00
6.180260e+02 2.24686000e+00
6.181090e+02 1.75362000e+00
6.182750e+02 1.15276000e+00
6.184410e+02 8.15012000e-01
6.186070e+02 6.06544000e-01
6.187730e+02 4.68991000e-01
6.191060e+02 3.04320000e-01
6.194380e+02 2.13363000e-01
6.197700e+02 1.57862000e-01
6.201020e+02 1.21548000e-01
6.207660e+02 7.84692000e-02
6.214310e+02 5.48783000e-02
6.220950e+02 4.05741000e-02
6.227590e+02 3.12530000e-02
6.240880e+02 2.02477000e-02
6.254170e+02 1.42477000e-02
6.267450e+02 1.06212000e-02
6.280740e+02 8.26375000e-03
6.307310e+02 5.48764000e-03
6.333880e+02 3.97840000e-03
6.360460e+02 3.06853000e-03
6.387030e+02 2.47864000e-03
6.440180e+02 1.78746000e-03
6.493320e+02 1.41636000e-03
6.599610e+02 1.06552000e-03
6.705900e+02 9.49845000e-04
6.812190e+02 1.02741000e-03
6.918480e+02 1.90881000e-03
6.945060e+02 2.87120000e-03
6.971630e+02 5.63528000e-03
6.984910e+02 9.50038000e-03
6.998200e+02 2.04837000e-02
7.004840e+02 3.57387000e-02
7.008170e+02 5.09704000e-02
7.011490e+02 7.87634000e-02
7.014810e+02 1.38003000e-01
7.016470e+02 1.96687000e-01
7.018130e+02 3.02785000e-01
7.018960e+02 3.91546000e-01
7.019790e+02 5.25796000e-01
7.020620e+02 7.43488000e-01
7.021450e+02 1.13006000e+00
7.021870e+02 1.44827000e+00
7.022280e+02 1.92083000e+00
7.022700e+02 2.66801000e+00
7.023110e+02 3.95099000e+00
7.023530e+02 6.43146000e+00
7.023740e+02 8.64848000e+00
7.023940e+02 1.21993000e+01
7.024150e+02 1.84519000e+01
7.024360e+02 3.07088000e+01
7.024460e+02 4.17362000e+01
7.024570e+02 5.92764000e+01
7.024670e+02 8.85400000e+01
7.024770e+02 1.37657000e+02
7.024890e+02 2.20475000e+02
7.025000e+02 2.75782000e+02
7.025110e+02 2.20477000e+02
7.025230e+02 1.37660000e+02
7.025330e+02 8.74619000e+01
7.025440e+02 5.82227000e+01
7.025550e+02 4.08332000e+01
7.025650e+02 3.00430000e+01
7.025860e+02 1.79771000e+01
7.026070e+02 1.18770000e+01
7.026280e+02 8.40367000e+00
7.026500e+02 6.24913000e+00
7.026920e+02 3.83504000e+00
7.027340e+02 2.58595000e+00
7.027760e+02 1.86127000e+00
7.028180e+02 1.40312000e+00
7.028610e+02 1.09533000e+00
7.029450e+02 7.20158000e-01
7.030300e+02 5.09477000e-01
7.031140e+02 3.79256000e-01
