Fe-54(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
9480.37 68.4174
9480.74 42.8066
9480.99 30.4739
9481.24 22.2004
9481.50 16.6557
9481.75 12.8675
9482.26 8.24329
9482.76 5.69127
9483.27 4.15363
9483.78 3.16189
9484.79 2.00865
9485.81 1.39133
9486.82 1.02437
9488.85 0.628550
9490.88 0.431083
9492.91 0.318753
9496.96 0.202296
9501.02 0.146228
9505.08 0.114976
9513.19 0.0830841
9529.42 0.0593335
9545.64 0.0504401
9610.55 0.0398669
9740.36 0.0334376
9999.99 0.0261807
10000.0 0.0261802
10000.1 0.0261784
10000.2 0.0261769
10000.3 0.0261737
10000.6 0.0261672
10001.2 0.0261542
10002.3 0.0261284
10004.6 0.0260770
10009.2 0.0259747
10018.4 0.0257721
10036.8 0.0253744
10073.6 0.0246083
10147.3 0.0231845
10294.5 0.0207140
10589.0 0.0170212
10883.4 0.0154689
10957.1 0.0162640
11030.7 0.0196760
11067.5 0.0249163
11085.9 0.0302676
11104.3 0.0400938
11122.7 0.0610207
11131.9 0.0816086
11141.1 0.118497
11145.7 0.148993
11150.3 0.194669
11154.9 0.267512
11159.5 0.394113
11164.1 0.643493
11166.4 0.870181
11168.7 1.24284
11171.0 1.91664
11172.2 2.47619
11173.3 3.31339
11174.5 4.63542
11175.6 6.86300
11176.8 10.8916
11177.9 18.4852
11179.0 29.5682
11180.0 36.9371
11181.1 29.5363
11182.1 18.4642
11182.9 12.7087
11183.7 9.00646
11184.5 6.61486
11185.3 5.02281
11186.9 3.14335
11188.5 2.14202
11190.1 1.54612
11191.7 1.16920
11194.9 0.734735
11198.1 0.505085
11201.3 0.369448
11207.6 0.224152
11214.0 0.152060
11220.4 0.111259
11233.2 0.0690849
11245.9 0.0488193
11258.7 0.0375430
11284.2 0.0260313
11309.7 0.0205228
11335.3 0.0174295
11386.3 0.0141816
11488.4 0.0114978
11590.5 0.0102414
11999.0 0.00786159
12815.8 0.00551820
13632.6 0.00419298
14041.1 0.00381440
14245.3 0.00401323
14296.3 0.00438470
14347.4 0.00553497
14372.9 0.00718301
14398.4 0.0119013
14411.2 0.0184719
14424.0 0.0369700
14430.3 0.0623591
14433.5 0.0874324
14436.7 0.132636
14439.9 0.227057
14441.5 0.318930
14443.1 0.480056
14443.9 0.612163
14444.7 0.807622
14445.5 1.11425
14446.3 1.62623
14447.1 2.60607
14447.5 3.46115
14447.9 4.80711
14448.3 7.08962
14448.7 11.3615
14448.9 14.9858
14449.1 20.4361
14449.3 28.8797
14449.5 41.2055
14449.7 66.7982
14450.0 83.1153
14450.3 65.6794
14450.5 41.1269
14450.7 29.8975
14450.9 22.1722
14451.2 13.1631
14451.6 8.55335
14451.9 5.95514
14452.2 4.36709
14452.6 3.33233
14453.2 2.12976
14453.9 1.46805
14454.6 1.07227
14456.0 0.645658
14457.3 0.430056
14458.7 0.307867
14461.4 0.180302
14464.1 0.118835
14466.8 0.0845975
14472.2 0.0497921
14477.6 0.0333498
14483.1 0.0243019
14493.9 0.0151986
14515.6 0.00859991
14537.3 0.00625409
14580.6 0.00454301
14624.0 0.00391755
14797.4 0.00320990
15144.2 0.00282523
15837.9 0.00240107
17225.3 0.00186169
20000.0 0.00129580
20000.0 0.00129580
20000.1 0.00129579
20000.1 0.00129579
20000.2 0.00129577
20000.4 0.00129575
20000.8 0.00129570
20001.5 0.00129560
20002.9 0.00129540
20005.9 0.00129500
20011.7 0.00129421
20023.5 0.00129262
20046.9 0.00128947
20093.8 0.00128321
20187.5 0.00127092
20375.0 0.00124717
20750.0 0.00120282
21500.0 0.00112518
23000.0 0.00100443
23000.0 0.00100443
23000.1 0.00100442
23000.2 0.00100442
23000.3 0.00100441
23000.6 0.00100439
23001.2 0.00100435
23002.3 0.00100428
23004.5 0.00100412
23009.1 0.00100381
23018.1 0.00100320
23036.2 0.00100198
23072.5 0.000999541
23144.9 0.000994728
23289.8 0.000985324
23579.7 0.000967366
24159.3 0.000934609
25318.6 0.000880129
27978.0 0.000803311
29307.6 0.000818308
29972.4 0.000981661
30138.7 0.00116032
30304.9 0.00167411
30388.0 0.00239172
30429.5 0.00310966
30471.1 0.00442213
30512.6 0.00722335
30533.4 0.0100025
30554.2 0.0150342
30564.6 0.0192448
30574.9 0.0256275
30585.3 0.0359772
30595.7 0.0543861
30600.9 0.0695520
30606.1 0.0921127
30611.3 0.127934
30616.5 0.189514
30621.7 0.309391
30624.3 0.416827
30626.9 0.589914
30629.5 0.896591
30632.1 1.50526
30633.4 2.05906
30634.7 2.95083
30636.0 4.46355
30637.3 7.06053
30638.6 11.2930
30640.0 14.0970
30641.4 11.2626
30642.7 7.03744
30643.9 4.65243
30645.1 3.20281
30646.2 2.30174
30647.4 1.71936
30649.7 1.05195
30652.0 0.704699
30654.3 0.502679
30656.6 0.376466
30661.2 0.233345
30665.8 0.158463
30670.4 0.114691
30675.0 0.0868298
30679.6 0.0680894
30688.8 0.0451575
30698.0 0.0322156
30707.2 0.0242051
30716.4 0.0189104
30734.8 0.0125537
30753.2 0.00903468
30790.1 0.00547298
30826.9 0.00379701
30863.7 0.00287725
30937.4 0.00195350
31011.1 0.00152145
31084.7 0.00128493
31232.1 0.00104751
31526.7 0.000874790
31821.4 0.000812405
33000.0 0.000748250
33000.0 0.000748250
33000.1 0.000748249
33000.1 0.000748248
33000.2 0.000748246
33000.4 0.000748243
33000.8 0.000748236
33001.5 0.000748221
33003.0 0.000748193
33006.0 0.000748136
33012.0 0.000748024
33024.0 0.000747801
33048.0 0.000747367
33095.9 0.000746540
33191.9 0.000745036
33383.7 0.000742555
33767.4 0.000739258
34534.9 0.000737353
36069.7 0.000746609
37604.5 0.000773670
38372.0 0.000806508
38755.7 0.000877667
38947.5 0.00112560
39043.5 0.00209210
39091.4 0.00589333
39115.4 0.0206424
39121.4 0.0354852
39127.4 0.0761354
39130.4 0.130232
39133.4 0.272880
39134.9 0.452991
39136.4 0.892268
39137.1 1.39509
39137.9 2.46252
39138.3 3.51756
39138.6 5.29846
39139.0 8.62632
39139.4 15.1824
39139.7 24.4365
39140.0 30.3108
39140.3 24.0607
39140.6 15.1297
39140.9 9.38079
39141.2 6.21105
39141.5 4.34111
39141.8 3.17811
39142.4 1.89376
39143.0 1.24823
39144.3 0.652299
39145.5 0.400418
39147.9 0.194300
39150.3 0.114684
39155.1 0.0536425
39159.9 0.0312085
39169.5 0.0146238
39179.2 0.00866891
39217.7 0.00281246
39294.7 0.00132038
39448.7 0.000947848
39756.8 0.000864211
40373.1 0.000866847
41605.5 0.000930476
44070.3 0.00117494
46535.2 0.00175671
46843.3 0.00188079
47151.4 0.00202425
47305.4 0.00210452
47459.5 0.00219130
47613.5 0.00228529
47767.6 0.00238731
47921.6 0.00249831
48075.7 0.00261932
48229.7 0.00275160
48383.8 0.00289655
48537.8 0.00305584
48691.9 0.00323137
49000.0 0.00364059
49000.0 0.00364062
49000.1 0.00364072
49000.1 0.00364081
49000.3 0.00364098
49000.5 0.00364134
49001.0 0.00364206
49002.0 0.00364350
49003.9 0.00364638
49007.8 0.00365216
49015.6 0.00366375
49031.3 0.00368712
49062.5 0.00373465
49125.0 0.00383291
49250.0 0.00404313
49500.0 0.00452673
49750.0 0.00511422
50000.0 0.00583675
50378.0 0.00728809
50755.9 0.00940588
51133.9 0.0128217
51322.9 0.0163281
51370.1 0.0183314
51417.3 0.0227235
51441.0 0.0278835
51464.6 0.0403028
51476.4 0.0547395
51482.3 0.0671821
51488.2 0.0865150
51494.1 0.118892
51500.0 0.178191
51503.0 0.227714
51505.9 0.300640
51508.9 0.411148
51511.8 0.578883
51515.9 0.916834
51520.0 1.14572
51524.1 0.923260
51528.2 0.584089
51530.9 0.427607
51533.5 0.320336
51538.9 0.196081
51544.3 0.133046
51549.6 0.0978089
51560.3 0.0624343
51571.0 0.0462324
51592.5 0.0324912
51613.9 0.0271479
51656.7 0.0234180
51699.6 0.0225212
51871.0 0.0243867
52121.3 0.0305281
52371.5 0.0383235
52872.0 0.0512140
53203.8 0.0493393
53369.7 0.0465416
53452.7 0.0500956
53473.4 0.0554393
53494.1 0.0706120
53504.5 0.0902469
53509.7 0.108382
53514.9 0.138475
53520.1 0.193764
53525.2 0.310534
53527.8 0.423432
53530.4 0.618120
53533.0 0.982279
53535.6 1.70075
53537.8 2.69744
53540.0 3.36178
53542.2 2.69752
53544.4 1.70078
53547.0 0.986015
53549.5 0.621782
53552.1 0.426243
53554.7 0.312832
53559.8 0.194545
53564.9 0.138411
53570.1 0.107519
53575.2 0.0888125
53585.5 0.0681694
53606.0 0.0513499
53626.6 0.0445360
53708.7 0.0355667
53873.0 0.0289808
54240.2 0.0200092
54607.4 0.0144357
54974.6 0.0114479
55066.4 0.0114484
55158.2 0.0127607
55204.1 0.0150789
55227.1 0.0174641
55250.0 0.0217748
55273.0 0.0305846
55284.5 0.0388358
55295.9 0.0527662
55307.4 0.0789801
55313.2 0.101630
55318.9 0.136817
55324.6 0.195607
55330.4 0.302917
55333.2 0.391649
55336.1 0.521826
55339.0 0.717324
55341.8 1.00935
55345.9 1.60863
55350.0 1.99694
55354.1 1.59007
55358.2 0.996165
55362.7 0.586289
55367.2 0.371078
55371.8 0.252396
55376.3 0.182327
55380.9 0.137935
55385.4 0.108364
55394.4 0.0727621
55403.5 0.0530440
55412.6 0.0410499
55430.7 0.0278080
55448.8 0.0210386
55467.0 0.0171083
55503.2 0.0129153
55575.8 0.00954748
55648.3 0.00813048
55938.4 0.00599083
56518.6 0.00428464
57098.9 0.00333018
57679.1 0.00271032
58839.5 0.00198285
60000.0 0.00160337
60000.0 0.00160337
60000.1 0.00160335
60000.1 0.00160334
60000.2 0.00160333
60000.4 0.00160329
60000.7 0.00160321
60001.4 0.00160305
60002.7 0.00160273
60005.4 0.00160210
60010.8 0.00160083
60021.5 0.00159832
60043.1 0.00159332
60086.1 0.00158351
60172.1 0.00156456
60344.3 0.00152922
60688.5 0.00146789
61377.0 0.00137716
62754.0 0.00129643
64131.0 0.00133180
65508.0 0.00150645
66885.0 0.00192557
67573.5 0.00231391
67917.8 0.00258631
68089.9 0.00274961
68262.0 0.00293508
68434.1 0.00314669
68606.3 0.00338923
68692.3 0.00352394
68778.4 0.00366873
68864.5 0.00382459
68950.5 0.00399263
69122.6 0.00437035
69294.8 0.00481378
69466.9 0.00533819
69639.0 0.00596316
69811.1 0.00671428
69983.3 0.00762481
70155.4 0.00873867
70327.5 0.0101133
70499.6 0.0118236
70671.8 0.0139650
70843.9 0.0166528
71016.0 0.0200102
71238.3 0.0254724
71460.5 0.0320172
71905.0 0.0423884
72127.3 0.0415531
72349.5 0.0364955
72794.0 0.0236526
73142.9 0.0165675
73491.9 0.0125445
73666.3 0.0116738
73840.8 0.0120532
73928.0 0.0131965
74015.2 0.0157542
74102.5 0.0213964
74189.7 0.0341331
74254.9 0.0505782
74320.0 0.0614677
74385.2 0.0500734
74450.3 0.0331270
74534.6 0.0199978
74618.9 0.0136325
74703.3 0.0102744
74787.6 0.00830006
74956.2 0.00614433
75124.8 0.00499811
75462.1 0.00379943
75630.7 0.00358281
75715.0 0.00409835
75757.2 0.00668364
75778.3 0.0169091
75788.8 0.0550682
75794.1 0.187194
75795.4 0.305578
75796.7 0.583236
75797.4 0.891519
75798.0 1.51641
75798.7 3.03953
75799.0 4.68491
75799.3 7.53425
75799.7 12.0386
75800.0 15.0829
75800.3 12.0709
75800.7 7.55947
75801.0 4.56964
75801.3 2.93907
75802.0 1.45243
75802.7 0.844039
75803.4 0.551443
75804.8 0.286219
75806.1 0.175608
75811.6 0.0516238
75822.5 0.0159138
75844.3 0.00630225
75888.0 0.00375588
75975.4 0.00300248
76150.1 0.00263112
76499.5 0.00227046
76849.0 0.00212060
76936.3 0.00218482
77023.7 0.00247348
77111.1 0.00423238
77132.9 0.00605598
77154.7 0.0111438
77165.7 0.0180243
77176.6 0.0366190
77182.0 0.0608387
77187.5 0.122726
77190.2 0.197815
77193.0 0.370690
77194.3 0.556204
77195.7 0.913649
77196.4 1.23391
77197.1 1.72828
77197.7 2.53365
77198.4 3.88426
77199.2 6.20312
77200.0 7.77641
77200.8 6.21356
77201.6 3.89243
77202.3 2.47902
77203.0 1.65155
77203.8 1.15904
77204.5 0.854362
77205.9 0.510732
77207.4 0.338361
77210.3 0.178728
77213.2 0.110469
