Pt-198(n,tot) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 187.045
1.25000E-05 167.969
1.50000E-05 153.888
1.56878E-05 150.617
1.96492E-05 135.258
2.00000E-05 134.123
2.11527E-05 130.593
2.23054E-05 127.340
2.46108E-05 121.534
2.75000E-05 115.316
3.08253E-05 109.271
3.50000E-05 102.939
3.86090E-05 98.3140
4.83583E-05 88.5233
5.00000E-05 87.1631
5.52847E-05 83.2040
6.05693E-05 79.7751
7.50000E-05 72.3350
7.58636E-05 71.9584
7.82582E-05 70.9469
8.06527E-05 69.9809
8.54419E-05 68.1721
9.50201E-05 64.9738
0.000100000 63.4956
0.000119014 58.7329
0.000149066 53.1565
0.000150000 53.0106
0.000152294 52.6578
0.000154588 52.3130
0.000159177 51.6458
0.000168353 50.3942
0.000186707 48.1738
0.000200000 46.7602
0.000233852 43.7216
0.000275000 40.8130
0.000292903 39.7434
0.000350000 36.8990
0.000366863 36.1888
0.000413182 34.4670
0.000459500 33.0126
0.000500000 31.9103
0.000575530 30.1746
0.000720857 27.6387
0.000750000 27.2212
0.000826441 26.2329
0.000902881 25.3729
0.00100000 24.4259
0.00113087 23.3482
0.00141643 21.5392
0.00150000 21.1102
0.00177409 19.9227
0.00200000 19.1336
0.00222206 18.4783
0.00275000 17.2528
0.00278316 17.1877
0.00287100 17.0207
0.00295885 16.8612
0.00313455 16.5626
0.00348594 16.0345
0.00350000 16.0150
0.00355414 15.9412
0.00360827 15.8690
0.00371654 15.7294
0.00393309 15.4678
0.00436618 15.0041
0.00500000 14.4374
0.00546868 14.0833
0.00684958 13.2606
0.00750000 12.9544
0.00857917 12.5254
0.0100000 12.0703
0.0107455 11.8684
0.0134589 11.2814
0.0150000 11.0215
0.0168574 10.7568
0.0200000 10.3962
0.0211141 10.2881
0.0253000 9.94786
0.0331234 9.49473
0.0376500 9.29976
0.0414874 9.16010
0.0500000 8.90981
0.0519634 8.86099
0.0585240 8.71606
0.0650847 8.59360
0.0750000 8.43992
0.0815193 8.35451
0.100000 8.15948
0.102104 8.14069
0.108550 8.08656
0.114995 8.03703
0.127886 7.94940
0.150000 7.82618
0.160179 7.77820
0.200000 7.62689
0.200626 7.62488
0.202209 7.61982
0.203792 7.61483
0.206958 7.60501
0.213291 7.58602
0.225956 7.55045
0.251286 7.48746
0.275000 7.43648
0.314739 7.36417
0.350000 7.31045
0.394213 7.25338
0.493756 7.15362
0.500000 7.14835
0.514805 7.13623
0.529609 7.12460
0.559218 7.10270
0.618436 7.06356
0.750000 6.99316
0.774597 6.98193
0.830948 6.95802
0.887299 6.93629
1.00000 6.89811
1.21518 6.83946
