Na-23(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
143130 0.521237
143142 0.260575
143150 0.136588
143158 0.0800561
143174 0.0355826
143205 0.0124765
143269 0.00375244
143396 0.00104240
143650 0.000286250
144158 8.65967E-05
145174 3.55418E-05
147206 2.32279E-05
151270 2.17011E-05
159605 2.61910E-05
167940 3.53646E-05
173695 4.65409E-05
179450 6.64269E-05
182290 8.28122E-05
185130 0.000108369
187588 0.000149665
188203 0.000170039
188817 0.000209921
189432 0.000371185
189739 0.000940253
189893 0.00296870
189970 0.00955519
190008 0.0272393
190027 0.0620001
190037 0.107635
190046 0.209226
190060 0.417857
190074 0.207702
190090 0.0735947
190106 0.0349798
190137 0.0129739
190201 0.00413304
190327 0.00129467
190581 0.000494975
191088 0.000296392
191595 0.000274539
192102 0.000282164
194130 0.000400847
195800 0.000608772
196750 0.000812474
197700 0.00113023
198690 0.00165753
199070 0.00192842
199935 0.00265210
200800 0.00322489
201150 0.00328292
201520 0.00320227
202770 0.00229710
203610 0.00169357
203960 0.00149716
204850 0.00112991
206005 0.000854704
207160 0.000713483
207650 0.000678957
208905 0.000635601
210160 0.000634943
213550 0.000678362
214300 0.000669596
215940 0.000612735
219810 0.000404202
221440 0.000336085
223500 0.000276471
226570 0.000234064
229640 0.000245252
231485 0.000291146
233330 0.000400648
234725 0.000586567
235423 0.000776888
235771 0.000956925
235946 0.00111121
236120 0.00138013
236245 0.00174959
236370 0.00254866
236447 0.00365299
236523 0.00628951
236562 0.00927489
236600 0.0155152
236619 0.0215189
236638 0.0317361
236658 0.0507475
236677 0.0875622
236693 0.139994
236710 0.175125
236727 0.139959
236743 0.0875633
236755 0.0622349
236767 0.0453886
236779 0.0341769
236790 0.0265877
236813 0.0173413
236837 0.0122632
236883 0.00724862
236930 0.00498464
237009 0.00325988
237088 0.00250288
237245 0.00189670
237560 0.00162340
238190 0.00169078
239000 0.00179812
239050 0.00179707
239255 0.00178151
239460 0.00174859
239870 0.00164023
240690 0.00135601
241210 0.00121828
241730 0.00121211
241985 0.00133277
242240 0.00168713
242460 0.00254855
242570 0.00352778
242680 0.00546950
242743 0.00744280
242805 0.0105122
242888 0.0164555
242970 0.0204119
243045 0.0169851
243120 0.0113839
243135 0.0104386
243189 0.00767849
243244 0.00579047
243353 0.00360497
243461 0.00248989
243570 0.00186015
243750 0.00129262
243930 0.000990714
244225 0.000726222
244520 0.000582484
245110 0.000428547
245810 0.000332454
246510 0.000273144
248425 0.000183391
250340 0.000137231
253988 9.26521E-05
257635 7.08377E-05
264930 5.10846E-05
271415 4.44296E-05
277900 4.35798E-05
285305 5.31156E-05
289008 7.13198E-05
290859 9.21227E-05
292710 0.000135702
294065 0.000206460
294743 0.000272049
295420 0.000381400
296140 0.000598001
296500 0.000782519
296860 0.00105839
297300 0.00159189
297478 0.00188588
297655 0.00222189
298010 0.00291084
298320 0.00325606
298780 0.00323727
298895 0.00338203
299010 0.00386705
299125 0.00531338
299183 0.00702662
299240 0.0105464
299265 0.0132577
299290 0.0173192
299315 0.0235838
299340 0.0333298
299344 0.0351506
299352 0.0396145
299360 0.0445691
299377 0.0553384
299410 0.0687250
299443 0.0551629
299476 0.0349567
299500 0.0250246
299523 0.0184477
299570 0.0110731
299607 0.00802636
299644 0.00614480
299718 0.00405382
299791 0.00297251
299865 0.00233517
300013 0.00163217
300160 0.00125662
300455 0.000860014
300750 0.000649152
301263 0.000447817
301775 0.000338432
302288 0.000273846
302800 0.000236977
303390 0.000224400
303981 0.000267885
304276 0.000352320
304571 0.000600750
304866 0.00180093
305014 0.00537437
305087 0.0135573
305124 0.0264537
305161 0.0631767
305181 0.101223
305200 0.126653
305220 0.101196
305239 0.0631639
305262 0.0362296
305284 0.0224715
305329 0.0106718
305419 0.00398722
305598 0.00129663
305957 0.000426472
306675 0.000171378
307392 0.000115838
308110 9.29112E-05
309335 7.43773E-05
310560 6.49306E-05
313010 5.54747E-05
317910 4.92126E-05
329700 5.26495E-05
343770 7.32440E-05
354530 0.000108092
362045 0.000154628
369560 0.000243138
375160 0.000367823
380520 0.000581044
380940 0.000603198
382550 0.000696160
388400 0.00108732
389860 0.00115917
391250 0.00119704
392320 0.00120151
393520 0.00118031
395390 0.00110014
397100 0.000994359
399050 0.000861084
402950 0.000622088
403710 0.000583615
406525 0.000464797
409340 0.000378070
414970 0.000272714
419075 0.000237250
423180 0.000241739
425050 0.000273330
426920 0.000362399
427770 0.000449598
428620 0.000600008
428900 0.000670221
429900 0.00101373
430900 0.00125817
430980 0.00125564
431220 0.00122465
431460 0.00116400
431940 0.000994474
432900 0.000676385
433010 0.000648569
433458 0.000553535
433905 0.000483027
434800 0.000392836
436060 0.000332329
437320 0.000312675
439430 0.000333834
441750 0.000435980
443530 0.000613110
445310 0.000971379
446150 0.00124178
447485 0.00177729
448820 0.00207336
449260 0.00202686
450550 0.00158405
451840 0.00109321
452330 0.000947050
453485 0.000689857
454640 0.000523241
456320 0.000375986
458000 0.000290129
459310 0.000246522
462400 0.000185637
465490 0.000154320
474095 0.000122824
482700 0.000121342
485810 0.000124520
490360 0.000132015
491500 0.000134403
493610 0.000139361
495560 0.000144571
497720 0.000151059
500000 0.000158746
500000 0.000278000
500110 0.000278077
504010 0.000280819
507800 0.000283490
508170 0.000283751
508390 0.000283906
508520 0.000283997
508600 0.000284054
508670 0.000284103
508860 0.000284237
509010 0.000284343
509270 0.000284527
511400 0.000286031
519460 0.000291737
522560 0.000293938
526940 0.000297054
527410 0.000297389
529820 0.000299106
533090 0.000301440
536790 0.000304085
539130 0.000305761
541060 0.000307144
541770 0.000307653
543720 0.000309053
546150 0.000310799
548540 0.000312518
553220 0.000315890
558100 0.000319414
559260 0.000320253
562950 0.000322924
563400 0.000323250
563680 0.000323453
563790 0.000323533
563940 0.000323642
563990 0.000323678
564080 0.000323743
564280 0.000323888
564460 0.000324019
564800 0.000324265
565820 0.000325005
566260 0.000325324
569900 0.000327968
572910 0.000330158
574590 0.000331381
580310 0.000335554
583410 0.000337820
583970 0.000338230
587580 0.000340873
590560 0.000343058
592420 0.000344424
593600 0.000345291
596320 0.000347291
596460 0.000347394
597590 0.000348225
598790 0.000349109
598920 0.000349204
599260 0.000349455
599560 0.000349676
599740 0.000349808
599920 0.000349941
600000 0.000350000
600160 0.000350000
600400 0.000350000
600750 0.000350000
600870 0.000350000
601410 0.000350000
604120 0.000350000
605340 0.000350000
606720 0.000350000
607370 0.000350000
609970 0.000350000
611480 0.000350000
614700 0.000350000
615820 0.000350000
619460 0.000350000
621670 0.000350000
622560 0.000350000
624670 0.000350000
625570 0.000350000
626620 0.000350000
627110 0.000350000
627590 0.000350000
628980 0.000350000
630120 0.000350000
630360 0.000350000
633370 0.000350000
634100 0.000350000
635970 0.000350000
636700 0.000350000
639220 0.000350000
642790 0.000350000
648970 0.000350000
652780 0.000350000
657420 0.000350000
660000 0.000350000
663350 0.000348760
668220 0.000346976
669770 0.000346413
