Pb-207(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 46.5533
1.25000E-05 42.7732
1.50000E-05 39.9828
2.00000E-05 36.0660
2.75000E-05 32.3392
3.50000E-05 29.8865
4.25000E-05 28.1158
5.00000E-05 26.7603
6.25000E-05 25.0698
7.50000E-05 23.8219
0.000100000 22.0702
0.000125000 20.8748
0.000150000 19.9924
0.000200000 18.7538
0.000275000 17.5753
0.000350000 16.7997
0.000425000 16.2398
0.000500000 15.8111
0.000625000 15.2765
0.000750000 14.8819
0.00100000 14.3280
0.00125000 13.9500
0.00150000 13.6709
0.00200000 13.2793
0.00275000 12.9066
0.00350000 12.6613
0.00425000 12.4842
0.00500000 12.3487
0.00625000 12.1796
0.00750000 12.0549
0.0100000 11.8797
0.0125000 11.7601
0.0150000 11.6719
0.0200000 11.5480
0.0253000 11.4593
0.0314750 11.3856
0.0376500 11.3309
0.0500000 11.2538
0.0625000 11.2003
0.0750000 11.1609
0.100000 11.1055
0.125000 11.0677
0.150000 11.0398
0.200000 11.0006
0.275000 10.9633
0.350000 10.9388
0.500000 10.9075
0.750000 10.8781
1.00000 10.8606
1.50000 10.8398
2.00000 10.8274
2.75000 10.8156
3.50000 10.8078
5.00000 10.7978
7.50000 10.7885
10.0000 10.7828
15.0000 10.7761
20.0000 10.7720
27.5000 10.7680
35.0000 10.7652
50.0000 10.7616
75.0000 10.7577
100.000 10.7550
150.000 10.7511
200.000 10.7480
275.000 10.7440
350.000 10.7405
500.000 10.7339
750.000 10.7237
1000.00 10.7138
1500.00 10.6945
2000.00 10.6753
2531.44 10.6551
2797.15 10.6450
2930.01 10.6403
2996.44 10.6393
3013.05 10.6402
3029.66 10.6438
3037.96 10.6495
3046.26 10.6659
3050.42 10.6890
3052.49 10.7120
3054.57 10.7541
3056.64 10.8439
3057.68 10.9329
3058.72 11.0940
3059.24 11.2288
3059.76 11.4332
3060.28 11.7647
3060.80 12.3558
3061.06 12.8437
3061.31 13.5690
3061.57 14.7252
3061.83 16.7153
3062.09 20.6167
3062.22 24.1350
