33-As_n-tot
>  33-As-75:1.000000
2.459740e+02 3.18522000e+00
2.467950e+02 3.24154000e+00
2.476160e+02 3.35253000e+00
2.484370e+02 3.57162000e+00
2.492580e+02 4.02868000e+00
2.496690e+02 4.44307000e+00
2.500790e+02 5.10198000e+00
2.504900e+02 6.21471000e+00
2.509000e+02 8.26066000e+00
2.513110e+02 1.25368000e+01
2.515160e+02 1.66048000e+01
2.517210e+02 2.35443000e+01
2.519260e+02 3.66872000e+01
2.520290e+02 4.80502000e+01
2.521320e+02 6.56893000e+01
2.522340e+02 9.48947000e+01
2.523370e+02 1.47374000e+02
2.523880e+02 1.89985000e+02
2.524390e+02 2.51366000e+02
2.524910e+02 3.41464000e+02
2.525420e+02 4.73368000e+02
2.526210e+02 7.65796000e+02
2.527000e+02 9.69437000e+02
2.527790e+02 7.87030000e+02
2.528580e+02 4.99947000e+02
2.529220e+02 3.41125000e+02
2.529860e+02 2.40990000e+02
2.530500e+02 1.77231000e+02
2.531130e+02 1.35342000e+02
2.532410e+02 8.63240000e+01
2.533690e+02 6.02611000e+01
2.534960e+02 4.48611000e+01
2.536240e+02 3.50451000e+01
2.538790e+02 2.36928000e+01
2.541350e+02 1.76132000e+01
2.543900e+02 1.39667000e+01
2.546450e+02 1.15983000e+01
2.549010e+02 9.96682000e+00
2.554110e+02 7.91226000e+00
2.559220e+02 6.70350000e+00
2.564320e+02 5.92395000e+00
2.569430e+02 5.38663000e+00
2.579640e+02 4.70310000e+00
2.589850e+02 4.29062000e+00
2.610280e+02 3.81659000e+00
2.630700e+02 3.54477000e+00
2.651130e+02 3.35971000e+00
2.691970e+02 3.10103000e+00
2.773670e+02 2.72739000e+00
2.855370e+02 2.38698000e+00
2.937060e+02 2.04562000e+00
2.977910e+02 1.90332000e+00
3.018760e+02 1.85963000e+00
3.059610e+02 2.16559000e+00
3.080030e+02 2.70652000e+00
3.090240e+02 3.19950000e+00
3.100450e+02 3.95501000e+00
3.110670e+02 5.14087000e+00
3.120880e+02 7.07324000e+00
3.131090e+02 1.04012000e+01
3.136200e+02 1.29929000e+01
3.141300e+02 1.66206000e+01
3.146410e+02 2.18705000e+01
3.151510e+02 2.97965000e+01
3.156620e+02 4.24411000e+01
3.161730e+02 6.41682000e+01
3.164280e+02 8.12767000e+01
3.166830e+02 1.05615000e+02
3.169390e+02 1.41698000e+02
3.171940e+02 1.98031000e+02
3.174490e+02 2.91972000e+02
3.177040e+02 4.62378000e+02
3.178320e+02 6.02026000e+02
3.179600e+02 8.04598000e+02
3.180870e+02 1.10496000e+03
3.182150e+02 1.54890000e+03
3.184080e+02 2.51999000e+03
3.186000e+02 3.20353000e+03
3.187930e+02 2.60827000e+03
3.189850e+02 1.66019000e+03
3.192120e+02 9.61776000e+02
3.194400e+02 6.03246000e+02
3.196670e+02 4.09514000e+02
3.198940e+02 2.96085000e+02
3.201220e+02 2.24810000e+02
3.203490e+02 1.77400000e+02
3.208030e+02 1.20638000e+02
3.212580e+02 8.96620000e+01
3.217120e+02 7.14657000e+01
3.226220e+02 5.44994000e+01
3.235310e+02 5.39251000e+01
3.239850e+02 6.05457000e+01
3.244400e+02 7.51773000e+01
3.248940e+02 1.05415000e+02
3.251220e+02 1.31847000e+02
3.253490e+02 1.72221000e+02
3.255760e+02 2.36763000e+02
3.258040e+02 3.45799000e+02
3.260310e+02 5.41496000e+02
3.262580e+02 9.04318000e+02
3.264790e+02 1.47465000e+03
3.267000e+02 1.88691000e+03
3.269220e+02 1.55095000e+03
3.271430e+02 9.98911000e+02
3.273930e+02 6.01025000e+02
3.276440e+02 3.89571000e+02
3.278940e+02 2.72084000e+02
3.281440e+02 2.01764000e+02
3.283950e+02 1.56717000e+02
3.286450e+02 1.26230000e+02
3.291460e+02 8.87405000e+01
3.296460e+02 6.73187000e+01
3.301470e+02 5.38316000e+01
3.311480e+02 3.82135000e+01
3.321500e+02 2.96679000e+01
3.331510e+02 2.43692000e+01
3.351530e+02 1.82314000e+01
3.371560e+02 1.48172000e+01
3.391590e+02 1.26530000e+01
3.431640e+02 1.00686000e+01
3.471690e+02 8.57603000e+00
3.511740e+02 7.59918000e+00
3.591850e+02 6.38360000e+00
3.671950e+02 5.63906000e+00
3.752050e+02 5.11936000e+00
3.912260e+02 4.39853000e+00
4.072470e+02 3.86934000e+00
4.232680e+02 3.41089000e+00
4.312780e+02 3.18563000e+00
4.392880e+02 2.94800000e+00
4.432940e+02 2.81763000e+00
4.472990e+02 2.67665000e+00
4.493010e+02 2.61243000e+00
4.503030e+02 2.59512000e+00
4.513040e+02 2.61246000e+00
4.523050e+02 2.73576000e+00
4.528060e+02 2.90695000e+00
4.533070e+02 3.26815000e+00
4.538070e+02 4.10715000e+00
4.540580e+02 4.95489000e+00
4.543080e+02 6.45858000e+00
4.545580e+02 9.40886000e+00
4.546830e+02 1.20241000e+01
4.548080e+02 1.61497000e+01
4.548710e+02 1.91464000e+01
4.549340e+02 2.31043000e+01
4.549960e+02 2.84458000e+01
4.550590e+02 3.58165000e+01
4.551210e+02 4.62878000e+01
4.551840e+02 6.15322000e+01
4.552470e+02 8.41706000e+01
4.553090e+02 1.17679000e+02
4.553570e+02 1.52328000e+02
4.554050e+02 1.92688000e+02
4.555000e+02 2.47792000e+02
4.555480e+02 2.37059000e+02
4.555960e+02 2.05140000e+02
4.556910e+02 1.33260000e+02
4.557730e+02 9.06867000e+01
4.558550e+02 6.42886000e+01
4.559380e+02 4.77650000e+01
4.560200e+02 3.70157000e+01
4.561840e+02 2.45335000e+01
4.563480e+02 1.79104000e+01
4.565130e+02 1.39890000e+01
4.566770e+02 1.14726000e+01
4.570060e+02 8.53048000e+00
4.573340e+02 6.92459000e+00
4.576630e+02 5.94198000e+00
4.583200e+02 4.83179000e+00
4.589770e+02 4.23641000e+00
4.596350e+02 3.87081000e+00
4.609490e+02 3.44753000e+00
4.622640e+02 3.20802000e+00
4.635780e+02 3.05083000e+00
4.662070e+02 2.84935000e+00
4.688360e+02 2.71942000e+00
4.714650e+02 2.63217000e+00
4.727800e+02 2.61348000e+00
4.740940e+02 2.66055000e+00
4.747510e+02 2.77988000e+00
4.750800e+02 2.91564000e+00
4.754090e+02 3.17494000e+00
