Hg-201(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 260.483
1.25000E-05 234.437
1.50000E-05 215.211
2.00000E-05 188.223
2.75000E-05 162.544
3.50000E-05 145.644
4.25000E-05 133.444
5.00000E-05 124.104
6.25000E-05 112.456
7.50000E-05 103.857
0.000100000 91.7878
0.000125000 83.5512
0.000150000 77.4713
0.000200000 68.9370
0.000275000 60.8166
0.000350000 55.4723
0.000425000 51.6142
0.000500000 48.6607
0.000625000 44.9771
0.000750000 42.2581
0.00100000 38.4413
0.00125000 35.8367
0.00150000 33.9140
0.00200000 31.2151
0.00275000 28.6471
0.00350000 26.9570
0.00425000 25.7368
0.00500000 24.8027
0.00625000 23.6378
0.00750000 22.7778
0.0100000 21.5706
0.0125000 20.7467
0.0150000 20.1385
0.0200000 19.2847
0.0253000 18.6726
0.0314750 18.1648
0.0376500 17.7877
0.0500000 17.2553
0.0625000 16.8863
0.0750000 16.6138
0.100000 16.2310
0.125000 15.9695
0.150000 15.7763
0.200000 15.5046
0.275000 15.2452
0.350000 15.0738
0.500000 14.8539
0.750000 14.6445
1.00000 14.5172
1.50000 14.3618
2.00000 14.2648
2.75000 14.1671
3.50000 14.0979
5.00000 13.9999
7.50000 13.8896
10.0000 13.8083
15.0000 13.6828
20.0000 13.5804
25.7140 13.4763
31.4280 13.3812
34.2850 13.3449
35.7135 13.3388
37.1420 13.3573
38.5705 13.4469
39.2848 13.5640
39.9990 13.8074
40.3561 14.0272
40.7133 14.3757
41.0704 14.9622
41.4275 16.0364
41.7846 18.2692
41.9632 20.3817
42.1418 23.9683
42.3203 30.7071
42.4096 36.4916
42.4989 45.4040
42.5882 60.0079
42.6774 85.8556
42.7667 135.914
42.8114 178.332
42.8560 239.312
42.9280 379.688
43.0000 477.399
43.0720 389.997
43.1440 252.216
43.1976 180.836
43.2511 134.027
43.3047 103.284
43.3583 82.5341
43.4654 57.6451
43.5725 44.0763
43.6796 35.9391
43.7868 30.6939
44.0010 24.5711
44.2153 21.2633
44.4295 19.2690
44.6438 17.9695
44.8580 17.0726
45.2865 15.9412
45.7150 15.2750
46.1435 14.8455
46.5720 14.5498
47.4290 14.1746
48.2860 13.9493
50.0000 13.6930
52.5830 13.4970
55.1660 13.3845
57.7490 13.3088
60.3320 13.2605
62.9150 13.2575
64.2065 13.2981
65.4980 13.4130
66.1438 13.5296
66.7895 13.7251
67.4353 14.0692
68.0810 14.7236
68.7268 16.1312
69.0496 17.4955
69.3725 19.8568
69.6954 24.3982
69.8568 28.3787
70.0183 34.6303
70.1797 45.1370
70.3411 64.4019
70.4219 80.3459
70.5026 103.713
70.5833 138.733
70.6640 191.192
70.7820 303.041
70.9000 381.890
71.0180 313.533
71.1360 204.323
71.2488 135.288
71.3615 95.0993
71.4743 71.2034
71.5870 56.2384
71.6998 46.3668
71.8125 39.5529
72.0380 31.0479
72.2635 26.1522
72.4890 23.0776
72.9400 19.5671
73.3910 17.7021
73.8420 16.5851
74.2930 15.8582
74.7440 15.3552
75.6460 14.7161
76.5480 14.3342
77.4500 14.0834
78.3520 13.9069
80.1560 13.6751
81.9600 13.5282
85.5680 13.3465
89.1760 13.2310
92.7840 13.1446
100.000 13.0104
112.500 12.8196
125.000 12.6347
137.500 12.4318
150.000 12.1907
162.500 11.8825
168.750 11.6881
175.000 11.4536
181.250 11.1636
187.500 10.8004
190.625 10.5903
193.750 10.3743
196.875 10.2032
198.438 10.1826
200.000 10.2747
201.237 10.5103
202.475 11.0357
203.712 12.1544
204.949 14.6074
205.568 16.8826
206.186 20.5310
206.805 26.6963
207.424 37.9115
207.733 47.1218
208.042 60.6362
208.352 81.3681
208.661 115.028
208.970 173.899
209.125 220.762
209.279 287.615
209.434 386.401
209.589 537.539
209.743 776.571
209.898 1156.72
210.099 1904.53
210.300 2453.91
210.502 2026.80
210.703 1309.68
210.902 839.915
211.100 568.611
211.299 408.186
211.497 307.958
211.696 241.851
211.894 196.156
212.291 138.910
212.688 105.731
213.085 84.7292
213.879 60.4712
214.673 47.3682
215.467 39.3996
216.261 34.1388
217.055 30.4528
218.643 25.6956
220.231 22.8026
221.818 20.8787
223.406 19.5150
226.582 17.7180
229.758 16.5871
232.934 15.8054
236.110 15.2268
242.461 14.4074
248.813 13.8255
261.516 12.9435
274.219 12.1183
280.571 11.6391
286.923 11.0543
290.098 10.7008
293.274 10.2920
296.450 9.82026
299.626 9.30237
301.214 9.05887
302.802 8.88688
304.390 8.92287
305.977 9.54327
306.771 10.3761
307.565 11.9573
308.359 15.0089
309.153 21.2276
309.550 26.7348
309.947 35.2733
310.344 49.1690
310.741 73.3076
310.940 92.3371
311.138 119.277
311.337 158.775
311.535 219.223
311.734 316.720
311.932 484.235
312.131 792.612
312.230 1040.96
312.329 1384.20
312.515 2301.72
312.700 2991.73
312.886 2489.33
313.071 1619.23
313.199 1184.97
313.327 887.705
313.455 684.852
313.584 543.519
313.840 367.826
314.096 268.192
314.352 206.600
314.608 165.887
315.121 116.940
315.633 89.5486
316.146 72.5321
316.658 61.1489
317.170 53.1033
318.195 42.6450
319.220 36.2569
320.245 32.0071
321.270 29.0016
323.319 25.0675
325.369 22.6275
327.419 20.9742
329.468 19.7818
333.568 18.1745
337.667 17.1344
341.766 16.3977
345.865 15.8408
354.064 15.0324
362.262 14.4436
378.660 13.5374
395.057 12.7054
403.255 12.2429
411.454 11.7068
415.553 11.4005
419.652 11.0666
423.752 10.7175
427.851 10.4128
429.901 10.3376
431.950 10.4051
434.000 10.7963
436.050 11.9693
438.099 15.2806
439.124 18.9614
440.149 25.8719
441.174 40.1447
441.686 53.2342
442.198 74.4210
442.711 111.066
443.223 180.157
443.479 238.462
443.736 325.113
443.992 456.897
444.248 657.623
444.624 1100.25
445.000 1441.53
445.376 1211.12
445.752 796.637
446.176 490.895
446.600 325.377
447.024 232.133
447.447 175.695
447.871 139.215
448.295 114.319
449.143 83.4296
449.990 65.6102
450.838 54.3174
452.533 41.1770
454.228 33.9738
455.924 29.5171
457.619 26.5216
459.314 24.3839
462.705 21.5503
466.095 19.7597
469.486 18.5201
472.876 17.6031
479.657 16.3089
486.438 15.3983
500.000 14.0530
507.909 13.3673
515.818 12.6652
523.727 11.8826
531.636 10.9415
535.591 10.3804
539.545 9.74186
543.500 9.02544
547.454 8.28771
549.431 7.98458
551.409 7.84814
553.386 8.13507
555.363 9.51871
556.352 11.1423
557.340 14.0461
558.329 19.3675
559.318 29.6498
559.812 38.3688
560.306 51.3813
560.801 71.5783
561.295 104.543
561.789 161.987
562.283 271.008
562.531 363.409
562.778 501.031
563.025 710.917
563.272 1031.25
563.636 1744.31
564.000 2305.27
564.365 1950.11
564.729 1288.88
564.962 974.200
565.196 750.509
565.662 479.645
566.129 334.786
566.595 249.956
567.062 196.270
567.528 160.130
568.461 115.810
569.394 90.4536
570.327 74.4316
572.193 55.7826
574.059 45.5227
575.925 39.1442
577.791 34.8373
579.656 31.7515
583.388 27.6459
587.120 25.0469
590.852 23.2527
594.584 21.9349
602.048 20.1094
609.511 18.8747
616.975 17.9493
624.439 17.1946
639.366 15.8980
646.830 15.2496
654.293 14.5313
658.025 14.1274
661.757 13.6862
665.489 13.2144
669.221 12.7654
671.087 12.6088
672.953 12.5901
674.819 12.8949
676.684 13.9944
