Ga-69(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 95.0778
1.25000E-05 85.8917
1.50000E-05 79.1109
2.00000E-05 69.5928
2.75000E-05 60.5363
3.50000E-05 54.5760
4.25000E-05 50.2732
5.00000E-05 46.9791
6.25000E-05 42.8710
7.50000E-05 39.8385
0.000100000 35.5819
0.000125000 32.6770
0.000150000 30.5327
0.000200000 27.5228
0.000275000 24.6589
0.000350000 22.7741
0.000425000 21.4135
0.000500000 20.3718
0.000625000 19.0727
0.000750000 18.1137
0.00100000 16.7677
0.00125000 15.8491
0.00150000 15.1710
0.00200000 14.2192
0.00275000 13.3135
0.00350000 12.7175
0.00425000 12.2872
0.00500000 11.9578
0.00625000 11.5470
0.00750000 11.2437
0.0100000 10.8180
0.0125000 10.5275
0.0150000 10.3131
0.0200000 10.0121
0.0253000 9.79630
0.0314750 9.61731
0.0376500 9.48440
0.0500000 9.29679
0.0625000 9.16680
0.0750000 9.07082
0.100000 8.93605
0.125000 8.84402
0.150000 8.77604
0.200000 8.68051
0.275000 8.58941
0.350000 8.52928
0.500000 8.45223
0.750000 8.37902
1.00000 8.33464
1.50000 8.28049
2.00000 8.24671
2.75000 8.21255
3.50000 8.18816
5.00000 8.15303
7.50000 8.11189
10.0000 8.07981
15.0000 8.02647
20.0000 7.97931
27.5000 7.91308
35.0000 7.84867
50.0000 7.71760
62.5000 7.59826
75.0000 7.45725
81.2500 7.37169
87.5000 7.26980
90.6250 7.21118
93.7500 7.14801
96.8750 7.08577
100.000 7.04910
101.327 7.06164
102.655 7.11853
103.982 7.27206
105.309 7.65664
105.973 8.03999
106.636 8.68587
107.300 9.83722
107.964 12.0709
108.295 14.0134
108.627 17.0164
108.959 21.9440
109.291 30.7147
109.623 48.2758
109.789 64.3054
109.954 90.5449
110.120 137.305
110.203 175.398
110.286 231.041
110.369 316.123
110.452 452.427
110.535 682.208
110.618 1076.56
110.709 1748.74
110.800 2221.46
110.891 1805.49
110.982 1147.57
111.069 733.636
111.156 493.708
111.243 351.182
111.330 262.170
111.417 203.460
111.504 163.029
111.678 112.622
111.851 83.6420
112.025 65.4755
112.373 44.7930
112.721 33.8445
113.069 27.3170
113.416 23.0881
113.764 20.1774
114.459 16.5101
115.155 14.3496
115.850 12.9540
116.546 11.9917
117.937 10.7695
119.328 10.0377
120.718 9.55597
122.109 9.21696
124.891 8.77330
127.673 8.49593
130.455 8.30521
133.237 8.16492
138.800 7.96908
144.364 7.83493
155.491 7.65238
166.618 7.52326
177.746 7.41905
200.000 7.24444
233.404 7.00780
250.105 6.88411
266.807 6.74472
283.509 6.57073
291.860 6.45803
300.211 6.31288
304.386 6.22076
308.561 6.10861
312.737 5.96749
316.912 5.78329
319.000 5.66886
321.088 5.53624
323.176 5.38615
325.263 5.23403
326.307 5.17651
327.351 5.16359
328.395 5.26365
329.439 5.66076
329.961 6.11767
330.483 6.94002
331.004 8.47794
331.526 11.5638
331.787 14.2898
332.048 18.5321
332.309 25.5023
332.570 37.8300
332.701 47.7487
332.831 62.0820
332.962 83.6915
333.092 118.033
333.223 176.607
333.353 285.854
333.418 377.692
333.484 513.791
333.549 720.773
333.614 1036.11
333.707 1702.36
333.800 2186.52
333.893 1797.25
333.986 1154.80
334.054 824.334
334.121 604.489
334.189 457.878
334.257 357.909
334.392 236.243
334.527 168.883
334.662 127.922
334.798 101.231
335.068 69.6165
335.339 52.2308
335.609 41.5829
335.880 34.5460
336.150 29.6256
336.691 23.3159
337.232 19.5249
337.773 17.0391
338.314 15.3038
339.396 13.0696
340.478 11.7122
341.560 10.8095
342.642 10.1695
344.806 9.32726
346.970 8.79996
349.134 8.43912
351.298 8.17628
355.626 7.81706
359.954 7.58026
364.282 7.40963
368.610 7.27858
377.266 7.08449
385.922 6.94026
403.235 6.71700
420.547 6.51860
429.203 6.41223
437.859 6.28909
446.515 6.13068
450.843 6.02648
455.171 5.89283
457.335 5.80962
459.499 5.71143
461.663 5.59502
463.827 5.46077
464.909 5.39197
465.991 5.33310
467.073 5.31049
468.155 5.39977
468.696 5.54893
469.237 5.85197
469.778 6.46349
470.319 7.75388
470.860 10.7635
471.131 13.8147
471.401 19.2331
471.672 29.8528
471.807 39.2376
471.942 53.9782
472.077 78.6431
472.213 123.189
472.280 159.451
472.348 211.534
472.415 287.733
472.483 398.953
472.592 660.178
472.700 855.509
472.809 710.370
472.917 461.680
473.023 299.188
473.129 204.524
473.234 148.160
473.340 112.755
473.446 89.3004
473.552 73.0294
473.763 52.5572
473.975 40.6313
474.187 33.0500
474.610 24.2493
475.033 19.4656
475.456 16.5410
475.879 14.6018
476.302 13.2381
477.149 11.4696
477.995 10.3887
478.842 9.66729
479.688 9.15489
481.381 8.47917
483.073 8.05536
484.766 7.76494
486.459 7.55308
489.844 7.26282
493.229 7.07070
500.000 6.82440
507.968 6.64159
515.936 6.51057
519.920 6.45664
523.904 6.41079
525.896 6.39412
526.892 6.38989
527.888 6.39211
528.884 6.40996
529.382 6.43303
529.880 6.47870
530.378 6.57841
530.627 6.67566
530.876 6.84550
531.125 7.17891
531.250 7.47941
531.374 7.96784
531.499 8.83491
531.561 9.54177
531.623 10.5773
531.686 12.1721
531.748 14.7565
531.810 19.1972
531.872 26.9995
531.936 39.4206
532.000 47.7043
532.064 39.4236
532.128 27.0024
532.166 21.6740
532.205 17.9053
532.282 13.3685
532.359 10.9671
532.436 9.58324
532.512 8.72448
532.589 8.15873
532.743 7.48671
532.897 7.11946
533.051 6.89743
533.358 6.65365
533.666 6.52913
533.974 6.45635
534.589 6.37728
535.204 6.33561
535.819 6.30941
537.050 6.27623
538.280 6.25362
539.510 6.23532
541.971 6.20411
546.893 6.14900
551.814 6.09677
571.501 5.88722
591.187 5.65234
601.030 5.52005
603.491 5.48827
605.952 5.46510
607.182 5.46635
607.798 5.47703
608.413 5.50409
609.028 5.57095
609.336 5.63986
609.643 5.76411
609.951 6.01608
610.105 6.24949
610.258 6.63896
610.412 7.35660
610.489 7.96337
610.566 8.88718
610.643 10.3808
610.720 12.9834
610.797 17.9274
610.835 22.0546
610.874 27.8944
610.937 41.4346
611.000 50.4457
611.063 41.4142
611.127 27.8958
611.165 22.0163
611.204 17.8900
611.281 12.9420
611.358 10.3423
611.436 8.85293
611.513 7.93027
611.590 7.32446
611.745 6.60558
611.899 6.21317
612.054 5.97592
612.363 5.71494
612.672 5.58085
